# res(1/A),AA_denss/AA_denss_0_aligned,AA_denss/AA_denss_1_aligned,AA_denss/AA_denss_2_aligned,AA_denss/AA_denss_3_aligned,AA_denss/AA_denss_4_aligned,AA_denss/AA_denss_5_aligned,AA_denss/AA_denss_6_aligned,AA_denss/AA_denss_7_aligned,AA_denss/AA_denss_8_aligned,AA_denss/AA_denss_9_aligned,AA_denss/AA_denss_10_aligned,AA_denss/AA_denss_11_aligned,AA_denss/AA_denss_12_aligned,AA_denss/AA_denss_13_aligned,AA_denss/AA_denss_14_aligned,AA_denss/AA_denss_15_aligned,AA_denss/AA_denss_16_aligned,AA_denss/AA_denss_17_aligned,AA_denss/AA_denss_18_aligned,AA_denss/AA_denss_19_aligned
2.39933e-02 8.47349e-01 7.80338e-01 6.70961e-01 6.93381e-01 8.08289e-01 6.40655e-01 6.59808e-01 7.11805e-01 7.40178e-01 7.38894e-01 9.04758e-01 6.32974e-01 7.62018e-01 7.78411e-01 6.43020e-01 6.36373e-01 5.63242e-01 7.95672e-01 7.79572e-01 7.01588e-01
2.59928e-02 7.85565e-01 7.24581e-01 6.13752e-01 6.21605e-01 7.85366e-01 5.80306e-01 5.64222e-01 6.22110e-01 7.10080e-01 7.26366e-01 8.75216e-01 5.55160e-01 6.98623e-01 7.19983e-01 6.01031e-01 5.57230e-01 5.05052e-01 7.48872e-01 7.19408e-01 6.49372e-01
2.79922e-02 7.37319e-01 6.84242e-01 5.54578e-01 5.61906e-01 7.67728e-01 5.24748e-01 4.86923e-01 5.41726e-01 6.96052e-01 7.14017e-01 8.46821e-01 4.91633e-01 6.39984e-01 6.67891e-01 5.71587e-01 4.92041e-01 4.67700e-01 7.05914e-01 6.73316e-01 6.11422e-01
2.99916e-02 6.98524e-01 6.41764e-01 5.04663e-01 5.07722e-01 7.56876e-01 4.77412e-01 4.01241e-01 4.63549e-01 6.92556e-01 6.96494e-01 8.07859e-01 4.46406e-01 5.99313e-01 6.10303e-01 5.45954e-01 4.36385e-01 4.38100e-01 6.62703e-01 6.41128e-01 5.80761e-01
3.19911e-02 6.69780e-01 5.97097e-01 4.56583e-01 4.50935e-01 7.44142e-01 4.22318e-01 3.06367e-01 4.03838e-01 6.83507e-01 6.71412e-01 7.62164e-01 3.89944e-01 5.66009e-01 5.40516e-01 5.24644e-01 3.94622e-01 4.05885e-01 6.41490e-01 6.03639e-01 5.48429e-01
3.39905e-02 6.50040e-01 5.71302e-01 4.23742e-01 3.92062e-01 7.26407e-01 3.61938e-01 2.26114e-01 3.60348e-01 6.65075e-01 6.51684e-01 7.18378e-01 3.47266e-01 5.31038e-01 4.79509e-01 4.98990e-01 3.40074e-01 4.08717e-01 5.95533e-01 5.90669e-01 5.07139e-01
3.59900e-02 6.37691e-01 5.45787e-01 3.85666e-01 3.44707e-01 7.12099e-01 3.01749e-01 1.47016e-01 3.26310e-01 6.48637e-01 6.27095e-01 6.73411e-01 3.04117e-01 4.87053e-01 4.23779e-01 4.75978e-01 3.09134e-01 3.95145e-01 5.78064e-01 5.67732e-01 4.80994e-01
3.79894e-02 6.32197e-01 5.32945e-01 3.52538e-01 3.04141e-01 6.96309e-01 2.52705e-01 7.62921e-02 3.12756e-01 6.29608e-01 6.06046e-01 6.38973e-01 2.80958e-01 4.58912e-01 3.78401e-01 4.42688e-01 2.72981e-01 4.05475e-01 5.42751e-01 5.37824e-01 4.51398e-01
3.99889e-02 6.26059e-01 5.16875e-01 3.05241e-01 2.66208e-01 6.67246e-01 2.12927e-01 4.32616e-02 2.93647e-01 6.14633e-01 5.86820e-01 6.10930e-01 2.69887e-01 4.24915e-01 3.44937e-01 4.03896e-01 2.39430e-01 4.12644e-01 4.98632e-01 5.05118e-01 4.17137e-01
4.19883e-02 6.13486e-01 4.99335e-01 2.52464e-01 2.18161e-01 6.11986e-01 1.70731e-01 1.75821e-02 2.87903e-01 5.94132e-01 5.62547e-01 5.88401e-01 2.73186e-01 3.85298e-01 3.20439e-01 3.55215e-01 1.94393e-01 4.28666e-01 4.47071e-01 4.51442e-01 3.71021e-01
