# q I sigma_original_independent_frame_assumption
7.000000000000000666e-02 1.535902643636363418e+00 9.759665594669468883e-03
7.199999999999999456e-02 1.481696783636363701e+00 9.618834769959871620e-03
7.399999999999999634e-02 1.418276436363636428e+00 9.591898754808264246e-03
7.599999999999999811e-02 1.348514422727272732e+00 9.235415655348109404e-03
7.799999999999999989e-02 1.288139206363636324e+00 9.190739359918346715e-03
8.000000000000000167e-02 1.244786621818181782e+00 9.254804053955817400e-03
8.200000000000000344e-02 1.171096282727272841e+00 9.185833835594238786e-03
8.400000000000000522e-02 1.137118998181818164e+00 8.870134374206641373e-03
8.599999999999999312e-02 1.107627548818181928e+00 8.652957515333931093e-03
8.799999999999999489e-02 1.037367702909090861e+00 8.582100595669103077e-03
8.999999999999999667e-02 1.008771951363636177e+00 8.622545138134487044e-03
9.199999999999999845e-02 9.816034298181818274e-01 8.552811367840171958e-03
9.400000000000000022e-02 9.429186004545454525e-01 8.450453500748866115e-03
9.600000000000000200e-02 9.066007504545456896e-01 8.581743008373820050e-03
9.800000000000000377e-02 8.704296346363636916e-01 8.416329663847610734e-03
1.000000000000000056e-01 8.439669631818182971e-01 8.330432240869631993e-03
1.049999999999999961e-01 7.655206843636362946e-01 5.096692469902039911e-03
1.100000000000000006e-01 7.047816968181818131e-01 5.008978889172523673e-03
1.150000000000000050e-01 6.575671629999999546e-01 4.833296927488050718e-03
1.199999999999999956e-01 5.957864726363635288e-01 4.733829792152709041e-03
1.250000000000000000e-01 5.608789630909091217e-01 4.802281093633003518e-03
1.300000000000000044e-01 5.191471097272727375e-01 4.776142982659186374e-03
1.350000000000000089e-01 4.897752000909090797e-01 4.626099826068930977e-03
1.400000000000000133e-01 4.537361407272726410e-01 4.518734270410742354e-03
1.449999999999999900e-01 4.262039792727273513e-01 4.458312202195750459e-03
1.499999999999999944e-01 4.006956910000000760e-01 4.651073859334383526e-03
1.549999999999999989e-01 3.669737073636364366e-01 4.623422896585419051e-03
1.600000000000000033e-01 3.450721671818182124e-01 4.601920125189573781e-03
1.650000000000000078e-01 3.335632215454545357e-01 4.732617992820359505e-03
1.700000000000000122e-01 3.105825858181818222e-01 4.670799763897653251e-03
1.749999999999999889e-01 2.999628523636363453e-01 4.608138421643363791e-03
1.799999999999999933e-01 2.813541020909090529e-01 4.043670294744163181e-03
1.849999999999999978e-01 2.674871810909090764e-01 4.111681397013959745e-03
1.900000000000000022e-01 2.514713547272727223e-01 3.935116253401383865e-03
1.950000000000000067e-01 2.363150340909090374e-01 3.888099969869879616e-03
2.000000000000000111e-01 2.317917101818181835e-01 3.986291236531962733e-03
2.049999999999999878e-01 2.179160990909091156e-01 4.071449412793910587e-03
2.099999999999999922e-01 2.113845319090909558e-01 3.905227873902022626e-03
2.149999999999999967e-01 2.123606431818181872e-01 4.079567077276729375e-03
2.200000000000000011e-01 1.985072796363636372e-01 3.834815871817348447e-03
2.250000000000000056e-01 1.898501641818181873e-01 3.998361119497962496e-03
2.300000000000000100e-01 1.805213064545454493e-01 3.837841841900768974e-03
2.349999999999999867e-01 1.792454911818181784e-01 4.084447286196190609e-03
2.399999999999999911e-01 1.638833483636363553e-01 4.191692897430522591e-03
2.449999999999999956e-01 1.574886867272727031e-01 4.123824856522632226e-03
2.500000000000000000e-01 1.609722480000000122e-01 4.322456150069222368e-03
2.550000000000000044e-01 1.524350494545454460e-01 4.261604661969536911e-03
2.600000000000000089e-01 1.488033532727272845e-01 4.526610203343705945e-03
2.650000000000000133e-01 1.418771824545454752e-01 4.315406065776226409e-03
2.700000000000000178e-01 1.418414533636363217e-01 4.596264484964847005e-03
2.750000000000000222e-01 1.462898486363636563e-01 4.419647370227673677e-03
2.800000000000000266e-01 1.308949692727272851e-01 4.209020909993307219e-03
2.849999999999999756e-01 1.333169846363636279e-01 4.490441309121339167e-03
2.899999999999999800e-01 1.335310396363636187e-01 4.304976913443899801e-03
2.949999999999999845e-01 1.234990653636363900e-01 4.463615240885571676e-03
2.999999999999999889e-01 1.187562674090909126e-01 4.247216975823069757e-03
3.049999999999999933e-01 1.123685652727272749e-01 4.175196730110324571e-03
3.099999999999999978e-01 1.135229794909090872e-01 4.195197696938390147e-03
3.150000000000000022e-01 1.148456090909090871e-01 4.333144520355234307e-03
