# q I conditional_sigma_fixed_C_no_cross_frame_covariance
6.800000000000001876e-02 2.028417783649528516e+01 4.032759212087749789e-01
7.000000000000002054e-02 1.896217190385929285e+01 3.964723859494895253e-01
7.200000000000002232e-02 1.909733488103378107e+01 3.868117979057971167e-01
7.400000000000002409e-02 1.768507058444249225e+01 3.898842545542312577e-01
7.600000000000002587e-02 1.724439518931505688e+01 3.855853755995163334e-01
7.800000000000002764e-02 1.599559631647818314e+01 3.754131529083564733e-01
8.000000000000002942e-02 1.621454824378064430e+01 3.774575997722758314e-01
8.200000000000003120e-02 1.530320403268231999e+01 3.797140466911163581e-01
8.400000000000003297e-02 1.483247152672220714e+01 3.765575021236734488e-01
8.600000000000003475e-02 1.416683472815196865e+01 3.650585891298285812e-01
8.800000000000003653e-02 1.326944295233514737e+01 3.617245040647630860e-01
9.000000000000003830e-02 1.346174333776991539e+01 3.646907816475481456e-01
9.200000000000004008e-02 1.238033873109660021e+01 3.622217030340849075e-01
9.400000000000004186e-02 1.207230783316135536e+01 3.592683004904032584e-01
9.600000000000004363e-02 1.219943210975851322e+01 3.579526747577526646e-01
9.800000000000004541e-02 1.092012665478455524e+01 3.574916362587344798e-01
1.000000000000000056e-01 1.145820569800342881e+01 3.559147140131927456e-01
1.050000000000000100e-01 1.028578924987485976e+01 2.210845191561463252e-01
1.100000000000000144e-01 9.016686052631790460e+00 2.165680557226584979e-01
1.150000000000000189e-01 8.681271752152063925e+00 2.121726446196744165e-01
1.200000000000000233e-01 7.535830847072635841e+00 2.078776933491569279e-01
1.250000000000000278e-01 7.228788717660751040e+00 2.069771253732433924e-01
1.300000000000000322e-01 6.169457888654845235e+00 2.129245301261954160e-01
1.350000000000000366e-01 5.773060237802886796e+00 2.051763807673451512e-01
1.400000000000000411e-01 5.593424182328122996e+00 2.008107177516042507e-01
1.450000000000000455e-01 5.088034580232943860e+00 1.977437562032181573e-01
1.500000000000000500e-01 4.702741662383441046e+00 1.989971575538728721e-01
1.550000000000000544e-01 4.611044559121649122e+00 2.046046998904243186e-01
1.600000000000000588e-01 3.898370921267213962e+00 2.062016962579246993e-01
1.650000000000000633e-01 3.771115310246318408e+00 2.065731751899793911e-01
1.700000000000000677e-01 3.344717251653142487e+00 2.088371636344528437e-01
1.750000000000000722e-01 3.418031772967428328e+00 2.086838971824860889e-01
1.800000000000000766e-01 2.863616283200023815e+00 2.073165902879022249e-01
1.850000000000000810e-01 2.474051397749684078e+00 2.064431602082417716e-01
1.900000000000000855e-01 2.445448609363757964e+00 2.049008158232464849e-01
1.950000000000000899e-01 2.505142393273110724e+00 2.067831080124114540e-01
2.000000000000000944e-01 2.519578712172308776e+00 1.882419304625013445e-01
2.050000000000000988e-01 2.119603707901153378e+00 1.946398696719932042e-01
2.100000000000001033e-01 2.187326274206712995e+00 1.917467114680878881e-01
2.150000000000001077e-01 2.031047137331587482e+00 1.950653703513702542e-01
2.200000000000001121e-01 1.787360434898780381e+00 1.885548590275806791e-01
2.250000000000001166e-01 1.837124845392931860e+00 1.861516740739607711e-01
2.300000000000001210e-01 1.959953631326709633e+00 1.846254859246897750e-01
2.350000000000001255e-01 1.799588848281113984e+00 1.825538102124949491e-01
2.400000000000001299e-01 1.726061637104358892e+00 1.912396294658853801e-01
2.450000000000001343e-01 1.342460086997533608e+00 1.971720076479939465e-01
2.500000000000001110e-01 1.795084415586632121e+00 1.919272462060029882e-01
2.550000000000001155e-01 1.495512881370467451e+00 2.005442782585362682e-01
2.600000000000001199e-01 1.246291368445797465e+00 2.009201326607857607e-01
2.650000000000001243e-01 1.336894374549469688e+00 2.047989101987356675e-01
2.700000000000001288e-01 1.361991355669561754e+00 2.094639571490800878e-01
2.750000000000001332e-01 1.085710068725981303e+00 2.005486428276650746e-01
2.800000000000001377e-01 1.486098195272715028e+00 2.216186204921243574e-01
2.850000000000001421e-01 9.321395289720221244e-01 2.093234763417854138e-01
2.900000000000001465e-01 1.348052612070136824e+00 2.154477267559537501e-01
2.950000000000001510e-01 9.579403531850372300e-01 2.090950259767005992e-01
3.000000000000001554e-01 8.993507290807889465e-01 2.118476914961187618e-01
3.050000000000001599e-01 1.072263007407344482e+00 2.074508498279205304e-01
3.100000000000001643e-01 8.383329923292240915e-01 2.042683150703714645e-01
3.150000000000001688e-01 1.202387636469537835e+00 2.041268455626258083e-01
3.200000000000001732e-01 8.508366250477759074e-01 1.977284161418816077e-01
3.250000000000001776e-01 9.599312106239208386e-01 1.934474469939973518e-01
3.300000000000001821e-01 9.673502835312702830e-01 1.982980866507613738e-01
3.350000000000001865e-01 9.356146072357983678e-01 1.930988456585606139e-01
3.400000000000001910e-01 7.374244715158200236e-01 1.879588839363085795e-01
3.450000000000001954e-01 1.062189014970429390e+00 1.947984693350381102e-01
3.500000000000001998e-01 1.085874607898981825e+00 1.797747605540466476e-01
3.550000000000002043e-01 8.794861169127168310e-01 1.892960024108605588e-01
3.600000000000002087e-01 5.082237333907221322e-01 1.830246806818428273e-01
3.650000000000002132e-01 9.115692611097431231e-01 1.884694423673128616e-01
3.700000000000002176e-01 6.592653368975356365e-01 1.800934874901066740e-01
3.750000000000002220e-01 1.125093271415838814e+00 1.750487970922011693e-01
3.800000000000002265e-01 8.722511975183064870e-01 1.732987688935453408e-01
3.850000000000002309e-01 5.399822710357535804e-01 1.770060519118874520e-01
3.900000000000002354e-01 6.745875565338037561e-01 1.667816237637604337e-01
3.950000000000002398e-01 1.019249943494834554e+00 1.692808886283173053e-01
4.000000000000002442e-01 9.099328564285009691e-01 1.683162952212847729e-01
4.050000000000002487e-01 5.642687888298140164e-01 1.899784977236761985e-01
4.100000000000002531e-01 7.324517712393543434e-01 1.804619056846366865e-01
4.150000000000002576e-01 7.869889174665772869e-01 1.894934634336720158e-01
4.200000000000002620e-01 7.613186182768270083e-01 1.654647775318294767e-01
4.250000000000002665e-01 6.754825893935499925e-01 1.644552352344128276e-01
4.300000000000002709e-01 8.045332358480551393e-01 1.649417151960768380e-01
4.350000000000002753e-01 6.345865592268149502e-01 1.659498343538106102e-01
4.400000000000002798e-01 8.424280379600393998e-01 1.627050889864861127e-01
4.450000000000002842e-01 7.331772413301167468e-01 1.579317875727847265e-01
4.500000000000002887e-01 8.257573835967929599e-01 1.605050016527230228e-01
4.550000000000002931e-01 7.120271517919911641e-01 1.594631584886533615e-01
4.600000000000002975e-01 8.732548133538149404e-01 1.564743771191547117e-01
4.650000000000003020e-01 6.053380548944763406e-01 1.538782804657353731e-01
4.700000000000003064e-01 9.272710628754983198e-01 1.602394912783698666e-01
4.750000000000003109e-01 5.794004858321815110e-01 1.491080712069158820e-01
4.800000000000003153e-01 6.936178695299491936e-01 1.605337756871945409e-01
4.850000000000003197e-01 7.745755776419326333e-01 1.521310202901566822e-01
4.900000000000003242e-01 4.515020972592820314e-01 1.544821779283890861e-01
4.950000000000003286e-01 8.222274055832212714e-01 1.448222804041106870e-01
5.000000000000000000e-01 7.228274820402404988e-01 1.692260431999532133e-01
5.100000000000000089e-01 5.928635914861761780e-01 1.079598960150075504e-01
5.200000000000000178e-01 5.467095756773659998e-01 1.013558555307504105e-01
5.300000000000000266e-01 6.625059424436098299e-01 1.029559679709207559e-01
5.400000000000000355e-01 6.683421108093041685e-01 9.970921536763645288e-02
5.500000000000000444e-01 5.874015999492510076e-01 9.822479605729811380e-02
5.600000000000000533e-01 6.481746723369451457e-01 9.513755527894343644e-02
5.700000000000000622e-01 4.364069628202725815e-01 9.297113495865740040e-02
5.800000000000000711e-01 5.933133987411979282e-01 9.620782230261014367e-02
5.900000000000000799e-01 5.485139553024694914e-01 9.446194550892653141e-02
6.000000000000000888e-01 5.786049434124230784e-01 9.630635160460719602e-02
6.100000000000000977e-01 6.019107409389350405e-01 9.511550079762098875e-02
6.200000000000001066e-01 3.492103461294635558e-01 9.281678365109105600e-02
6.300000000000001155e-01 5.246196133189447997e-01 9.232421719876308941e-02
6.400000000000001243e-01 4.806743111162932736e-01 9.080714019111506274e-02
6.500000000000001332e-01 4.429600882740704626e-01 9.005512426436430851e-02
6.600000000000001421e-01 6.043118013418243839e-01 8.967693068875730311e-02
6.700000000000001510e-01 4.996411097633748910e-01 9.209516907874104596e-02
6.800000000000001599e-01 4.114685677508582717e-01 8.944309114566142971e-02
6.900000000000001688e-01 6.132591153333232237e-01 8.937490857642271802e-02
7.000000000000001776e-01 4.431647920942665686e-01 9.083650731046680193e-02
7.100000000000001865e-01 4.460605482862313731e-01 8.886437416403422662e-02
7.200000000000001954e-01 4.612248389594627573e-01 9.000752529183576878e-02
7.300000000000002043e-01 4.291588075164456395e-01 8.962429716398666313e-02
7.400000000000002132e-01 4.816771540039284094e-01 8.982240102723872133e-02
7.500000000000002220e-01 3.259107438242749843e-01 8.908448889284736882e-02
7.600000000000002309e-01 3.328457396148309377e-01 8.978251050466795613e-02
7.700000000000002398e-01 5.215077827048919534e-01 9.031440669689200229e-02
7.800000000000002487e-01 3.876754587090386894e-01 9.242793066455398665e-02
7.900000000000002576e-01 5.479295870701614835e-01 9.274388003147983339e-02
8.000000000000002665e-01 3.683869286280357924e-01 9.125695662950790432e-02
8.100000000000002753e-01 4.149789621802056350e-01 9.102291250544332357e-02
8.200000000000002842e-01 3.659383041347618049e-01 9.198880487034936937e-02
8.300000000000002931e-01 3.689468442689392003e-01 9.350093408026290132e-02
8.400000000000003020e-01 3.161819559347561204e-01 9.535137349820717312e-02
8.500000000000003109e-01 3.027923507383872281e-01 9.424927249505872517e-02
8.600000000000003197e-01 3.289723232144596277e-01 9.533602879963466725e-02
8.700000000000003286e-01 2.633709375543381026e-01 9.451143521432836536e-02
8.800000000000003375e-01 3.322077716434355121e-01 9.198874635431684987e-02
8.900000000000003464e-01 2.965815012152319130e-01 8.930271015761338804e-02
9.000000000000003553e-01 3.264580640757381302e-01 8.892178664584214631e-02
9.100000000000003642e-01 3.406935031765957467e-01 9.040030039598230538e-02
9.200000000000003730e-01 2.846731209405969354e-01 8.917807921668298443e-02
9.300000000000003819e-01 3.373310501425083596e-01 8.979084530992807733e-02
9.400000000000003908e-01 3.854383749175646634e-01 8.960848916962588229e-02
9.500000000000003997e-01 3.377356518126169438e-01 9.141608870366768613e-02
9.600000000000004086e-01 3.131789933213315891e-01 9.106180481545067540e-02
9.700000000000004174e-01 4.154593683787730640e-01 9.223147629284836335e-02
9.800000000000004263e-01 2.845371490715404850e-01 9.463845629068905196e-02
9.900000000000004352e-01 2.756636019204095067e-01 9.524619418673593851e-02
1.000000000000000000e+00 2.914927921869679417e-01 9.617017673280903178e-02
1.030000000000000027e+00 3.965202989830913238e-01 5.975331866876506387e-02
1.060000000000000053e+00 2.941319668457327285e-01 6.327694552447511722e-02
1.090000000000000080e+00 3.225308022933375818e-01 6.678620928675403634e-02
1.120000000000000107e+00 3.446305875121200013e-01 6.650862498300018355e-02
1.150000000000000133e+00 3.739358312544386886e-01 6.699555441137373946e-02
1.180000000000000160e+00 3.823879132096028588e-01 7.696716814499975079e-02
1.210000000000000187e+00 3.733634693016245620e-01 8.609167479918089505e-02
1.240000000000000213e+00 3.702294232201265300e-01 9.292132734065779165e-02
1.270000000000000240e+00 3.340312353921157662e-01 1.010277672082382505e-01
1.300000000000000266e+00 3.922924517177674986e-01 1.104496407880250219e-01
1.330000000000000293e+00 3.556478129388683795e-01 1.243543372895153792e-01
1.360000000000000320e+00 3.752973652121379677e-01 1.397375041357414305e-01
1.390000000000000346e+00 3.720078124882879034e-01 1.803478792723657298e-01
1.420000000000000373e+00 4.066520557024710936e-01 1.907042068021296277e-01
1.450000000000000400e+00 3.853411494250567060e-01 1.958323309035061022e-01
1.480000000000000426e+00 3.523494702462565131e-01 2.150053553793979111e-01
1.510000000000000453e+00 3.905924732084533613e-01 2.397078333460559707e-01
1.540000000000000480e+00 3.962735551380759946e-01 2.693325280019128742e-01
1.570000000000000506e+00 3.311548353173289216e-01 3.026648440943413010e-01
1.600000000000000533e+00 3.083409228748278386e-01 3.385156245645500883e-01
1.630000000000000560e+00 3.398154023695284520e-01 3.793949290438129451e-01
1.660000000000000586e+00 3.571031977746864650e-01 4.239093525810168628e-01
1.690000000000000613e+00 2.530368406452310204e-01 4.680861974545942328e-01
1.720000000000000639e+00 2.507668495422814003e-01 5.139277923020769689e-01
1.750000000000000666e+00 2.618086625063412165e-01 5.663394221640715154e-01
1.780000000000000693e+00 1.542869351347972984e-01 6.546330690897904647e-01
1.810000000000000719e+00 5.995755585124402237e-02 7.360286852947615088e-01
1.840000000000000746e+00 -6.903477156949428808e-04 7.811658051890678633e-01
1.870000000000000773e+00 3.330115558950593607e-02 8.022279108718455287e-01
1.900000000000000799e+00 1.430565730160313249e-02 8.341010962351362856e-01
1.930000000000000826e+00 -1.097882261924509537e-02 8.624299030941798838e-01
1.960000000000000853e+00 -3.578327036610852441e-02 8.866618361484072119e-01
1.990000000000000879e+00 -2.582093068630661806e-02 1.246812551347338038e+00
2.020000000000000906e+00 -9.813984752129917277e-02 9.305327720362484012e-01
2.050000000000000711e+00 -4.180062688059715988e-03 9.260725189718379546e-01
2.080000000000000959e+00 -1.677571111455472335e-03 9.024945965897557265e-01
2.110000000000001208e+00 1.185573846068230242e-01 8.638076892056508749e-01
2.140000000000001013e+00 1.053431721364534064e-02 8.264182338897831936e-01
2.170000000000000817e+00 5.242896582579278930e-02 7.753732026878118466e-01
2.200000000000001066e+00 6.171233328911281124e-02 7.282105995898419115e-01
2.230000000000001315e+00 7.948362888420673622e-02 6.915572737348687493e-01
2.260000000000001119e+00 2.334777334605971366e-01 6.630815255138846620e-01
2.290000000000000924e+00 1.089684077432026554e-01 6.336688222965000117e-01
2.320000000000001172e+00 1.510892711129413479e-01 6.077183704200292969e-01
2.350000000000001421e+00 1.851336927270732235e-01 5.854220215653205273e-01
2.380000000000001226e+00 1.716828180655172176e-01 5.886451079945907994e-01
2.410000000000001030e+00 1.353717559068713938e-01 5.966080477259845249e-01
2.440000000000001279e+00 2.152916300145335249e-01 5.651060186648260153e-01
2.470000000000001528e+00 2.070109763055298369e-01 5.566367408101314807e-01
2.500000000000001332e+00 2.119830034953482101e-01 5.427536005624487014e-01
2.530000000000001137e+00 2.452401882733712679e-01 5.386850266824467770e-01
2.560000000000001386e+00 1.641331042878428070e-01 5.394252025978373277e-01
2.590000000000001634e+00 1.997532956769093593e-01 5.419718205200322325e-01
2.620000000000001439e+00 1.859053572305804647e-01 5.447769095723900001e-01
2.650000000000001243e+00 1.774784778297009979e-01 5.519632609024331948e-01
2.680000000000001492e+00 1.766450831875150673e-01 5.726220832479681500e-01
2.710000000000001741e+00 1.838030870969497577e-01 5.879851338153113671e-01
2.740000000000001545e+00 1.010508215747148580e-01 5.975220397464817701e-01
2.770000000000001350e+00 1.402213881131678941e-01 6.028184680305489485e-01
2.800000000000001599e+00 1.317621640301278041e-01 6.041333294804741572e-01
2.830000000000001847e+00 1.254013816843322360e-01 6.027489383750505025e-01
2.860000000000001652e+00 2.543481692770335201e-01 5.983656535182295677e-01
2.890000000000001457e+00 2.207370770200881849e-01 5.920582679838799489e-01
2.920000000000001705e+00 1.244856003932504479e-01 5.822191531907048301e-01
2.950000000000001954e+00 8.271256226190677741e-02 5.728125691172787359e-01
2.980000000000001759e+00 1.389498176110807171e-01 5.674805133753603181e-01
3.010000000000001563e+00 1.560800404914584327e-01 5.498778651657239003e-01
3.040000000000001812e+00 1.209798375616391863e-01 5.396138676919611799e-01
3.070000000000002061e+00 1.536725974487794799e-01 5.145900561106483417e-01
3.100000000000001865e+00 1.228804959605780261e-01 5.116045925416051743e-01
3.130000000000001670e+00 2.788162752918311310e-02 5.425152269416397832e-01
3.160000000000001918e+00 1.086093153435370579e-01 5.275102908325202122e-01
3.190000000000002167e+00 1.081958676619995535e-01 5.385744290469195450e-01
