# q I sigma_saved_BIFT_input
1.800000000000000766e-01 1.066478436332869706e-01 5.399104426144629189e-03
1.850000000000000810e-01 1.005548396610651957e-01 5.373319660057054685e-03
1.900000000000000855e-01 8.628944650633361968e-02 5.337378102316880056e-03
1.950000000000000899e-01 8.608053545787699989e-02 5.385189537652128842e-03
2.000000000000000944e-01 8.403748526643253780e-02 4.994695899517712437e-03
2.050000000000000988e-01 7.569711416157730299e-02 5.141241338757755741e-03
2.100000000000001033e-01 7.591850185383848537e-02 5.022610969488061280e-03
2.150000000000001077e-01 6.432949155245377970e-02 5.069443746301771983e-03
2.200000000000001121e-01 6.702473544088280444e-02 4.867124419241427614e-03
2.250000000000001166e-01 6.122667958374466285e-02 4.796804015279810401e-03
2.300000000000001210e-01 6.581941002853047840e-02 4.846614436374413991e-03
2.350000000000001255e-01 5.504584744344766245e-02 4.777262840573863120e-03
2.400000000000001299e-01 6.627298784015606126e-02 4.937972369145552341e-03
2.450000000000001343e-01 5.162909575717769539e-02 5.099619854067921967e-03
