# q I sigma_shared_baseline
3.650000000000002132e-01 3.195518882049790121e-02 6.796795855538913592e-03
3.700000000000002176e-01 2.982502137400403625e-02 6.554369031978218678e-03
3.750000000000002220e-01 2.410810344777261291e-02 6.344588249162836160e-03
3.800000000000002265e-01 2.834541105750806519e-02 6.167099035079757346e-03
3.850000000000002309e-01 3.427952027473563784e-02 6.396991168328739277e-03
3.900000000000002354e-01 2.646611743045825318e-02 6.089720009777838117e-03
3.950000000000002398e-01 3.597405630178059088e-02 6.218770350444349088e-03
4.000000000000002442e-01 2.976295453248398171e-02 6.234006342693633289e-03
4.050000000000002487e-01 3.059947285156595573e-02 6.969014690068177885e-03
4.100000000000002531e-01 2.570240026027157884e-02 6.643330262367274849e-03
4.150000000000002576e-01 2.264624575097633555e-02 6.959230588454802524e-03
4.200000000000002620e-01 2.657499378233603438e-02 5.906516861363633741e-03
4.250000000000002665e-01 2.911265292938573085e-02 6.006519132988685263e-03
4.300000000000002709e-01 2.676300103580096096e-02 6.205968336941554593e-03
4.350000000000002753e-01 3.332979512480548773e-02 5.957142452728757601e-03
4.400000000000002798e-01 2.541920049346540339e-02 5.772921016590349189e-03
4.450000000000002842e-01 2.883019810800988361e-02 5.689470158914848585e-03
4.500000000000002887e-01 2.378282956354444908e-02 5.877447727187606191e-03
4.550000000000002931e-01 1.269095549112721731e-02 5.655900898734402167e-03
4.600000000000002975e-01 2.922002261188286210e-02 5.700445011895542875e-03
4.650000000000003020e-01 1.925666111330784358e-02 5.530385917243970523e-03
4.700000000000003064e-01 2.893881316386192823e-02 5.650676100824532193e-03
4.750000000000003109e-01 2.490676023903030251e-02 5.380023886447651664e-03
4.800000000000003153e-01 2.258690508743915054e-02 5.800461108219604096e-03
4.850000000000003197e-01 2.364084783660020880e-02 5.503839611754706741e-03
4.900000000000003242e-01 2.271996392750477364e-02 5.457047421546113580e-03
4.950000000000003286e-01 2.137370117000193109e-02 5.239286947628739484e-03
5.000000000000000000e-01 2.089283378194158394e-02 6.237887757763547342e-03
5.100000000000000089e-01 2.482593495236965625e-02 3.907172407928263640e-03
5.200000000000000178e-01 2.174883378951710661e-02 3.592448467961621966e-03
5.300000000000000266e-01 1.749870210953129515e-02 3.682743986830993698e-03
5.400000000000000355e-01 2.339618687976136729e-02 3.614794934675456990e-03
5.500000000000000444e-01 2.020597444781752072e-02 3.590507298742317069e-03
5.600000000000000533e-01 2.414104468749101590e-02 3.421976932784942353e-03
5.700000000000000622e-01 2.083372065555393754e-02 3.354100974050359084e-03
5.800000000000000711e-01 1.830858812872217245e-02 3.435762881770150576e-03
5.900000000000000799e-01 1.847805453106083490e-02 3.421031656405367719e-03
6.000000000000000888e-01 2.054595431591911894e-02 3.535609570935278976e-03
6.100000000000000977e-01 2.174904777043337734e-02 3.387989894356147405e-03
6.200000000000001066e-01 1.576265695059768726e-02 3.336217695268710488e-03
6.300000000000001155e-01 1.598378609904481037e-02 3.345102289615515135e-03
6.400000000000001243e-01 2.147407476165104703e-02 3.275266776520062862e-03
6.500000000000001332e-01 2.119551602253600883e-02 3.224740282854485739e-03
6.600000000000001421e-01 2.228862816226500829e-02 3.182821194732115156e-03
6.700000000000001510e-01 1.988228371411219358e-02 3.307338707851543384e-03
6.800000000000001599e-01 1.902765767776638806e-02 3.230414277973013126e-03
6.900000000000001688e-01 1.671322612100828095e-02 3.189682718838906476e-03
7.000000000000001776e-01 1.866192048093187617e-02 3.307877260876131327e-03
7.100000000000001865e-01 1.460791901636289240e-02 3.207824050629231021e-03
7.200000000000001954e-01 1.486210105391180814e-02 3.206242473201439611e-03
7.300000000000002043e-01 1.528152043305191707e-02 3.221339688849216096e-03
7.400000000000002132e-01 1.493991233350152811e-02 3.236433755330754038e-03
7.500000000000002220e-01 1.188290653888045105e-02 3.215364435285449247e-03
7.600000000000002309e-01 1.908740471088458956e-02 3.241895921505580890e-03
7.700000000000002398e-01 1.786285577166833727e-02 3.249147043429876421e-03
7.800000000000002487e-01 1.718637926283263576e-02 3.339438615649867152e-03
7.900000000000002576e-01 1.588463238139419670e-02 3.349713436729436292e-03
8.000000000000002665e-01 1.614528270401554416e-02 3.286331414531593054e-03
8.100000000000002753e-01 1.869983934786190183e-02 3.236161822905409165e-03
8.200000000000002842e-01 1.212449009630475055e-02 3.343665941086849079e-03
8.300000000000002931e-01 1.467879742823811895e-02 3.360937872264544921e-03
8.400000000000003020e-01 1.182252956572011141e-02 3.397318505229971006e-03
8.500000000000003109e-01 1.388492493933867616e-02 3.400205165225352825e-03
8.600000000000003197e-01 1.261528521329280221e-02 3.456247523585713379e-03
8.700000000000003286e-01 1.598974628480794372e-02 3.456495757735458980e-03
8.800000000000003375e-01 1.750260178788511090e-02 3.318837304500520981e-03
8.900000000000003464e-01 1.577975847880991322e-02 3.206641924337997728e-03
9.000000000000003553e-01 1.387867243891711955e-02 3.190867649122166617e-03
9.100000000000003642e-01 1.666633067506255103e-02 3.280648884359091324e-03
9.200000000000003730e-01 1.524110438173897387e-02 3.206435658718953183e-03
9.300000000000003819e-01 1.557317812201942410e-02 3.232559669043734776e-03
9.400000000000003908e-01 1.171827863267718879e-02 3.235069029774709747e-03
9.500000000000003997e-01 1.338259785963263199e-02 3.275955103625392655e-03
9.600000000000004086e-01 8.386759246394676071e-03 3.279532098067538398e-03
9.700000000000004174e-01 1.376414256866080772e-02 3.343534716140587806e-03
9.800000000000004263e-01 1.244546222545174843e-02 3.412758313464672733e-03
9.900000000000004352e-01 1.336356828950802100e-02 3.440833141353183411e-03
1.000000000000000000e+00 1.325617801363630950e-02 3.472199567386406553e-03
1.030000000000000027e+00 1.399350929795155005e-02 2.154351876233906709e-03
1.060000000000000053e+00 1.201589532231196571e-02 2.287301664746875431e-03
1.090000000000000080e+00 1.340930899500193153e-02 2.414405307534828876e-03
1.120000000000000107e+00 1.216441685417891418e-02 2.412116196348804142e-03
1.150000000000000133e+00 1.539836977830418702e-02 2.425253674541164722e-03
1.180000000000000160e+00 1.392826150185018895e-02 2.777240569093817040e-03
1.210000000000000187e+00 1.457877754244807887e-02 3.115101881130696079e-03
1.240000000000000213e+00 1.517886342704663320e-02 3.349071900381144981e-03
1.270000000000000240e+00 1.369190879498177402e-02 3.646471228926870169e-03
1.300000000000000266e+00 1.592001311222031312e-02 3.990882133873065694e-03
1.330000000000000293e+00 1.501182756355188413e-02 4.490154905797518262e-03
1.360000000000000320e+00 1.553608697508345078e-02 5.047327569175488748e-03
1.390000000000000346e+00 1.637176647905303623e-02 6.521120954451844857e-03
1.420000000000000373e+00 1.383641948509477942e-02 6.880267823226214434e-03
1.450000000000000400e+00 1.615611835247172945e-02 7.074941808710142645e-03
1.480000000000000426e+00 1.709501494610813147e-02 7.766093928793522082e-03
1.510000000000000453e+00 1.608612559066237291e-02 8.656092117250133861e-03
1.540000000000000480e+00 1.751383095869046141e-02 9.728436204686169084e-03
1.570000000000000506e+00 1.582302673776646296e-02 1.092359865877524580e-02
1.600000000000000533e+00 1.517886775270305307e-02 1.222932104026150379e-02
1.630000000000000560e+00 1.464668710508170747e-02 1.370175027449575984e-02
