# q I sigma_shared_baseline
9.200000000000004008e-02 1.005495118027269763e+00 1.346830866058813456e-02
9.400000000000004186e-02 9.756763588660217756e-01 1.338616832448291140e-02
9.600000000000004363e-02 9.124953156653407005e-01 1.341162359585295824e-02
9.800000000000004541e-02 9.030384019021943098e-01 1.329006040037164840e-02
1.000000000000000056e-01 8.654959450562026424e-01 1.311235926067452762e-02
1.050000000000000100e-01 7.906002459410270689e-01 8.062639285274040418e-03
1.100000000000000144e-01 7.237429630583130935e-01 7.858735209712471720e-03
1.150000000000000189e-01 6.752508423516192515e-01 7.674991648820007201e-03
1.200000000000000233e-01 6.211496468224118050e-01 7.518030926448725226e-03
1.250000000000000278e-01 5.746929950486852068e-01 7.582078823939505073e-03
1.300000000000000322e-01 5.367502242917412403e-01 7.637872382839161825e-03
1.350000000000000366e-01 4.988267475876891899e-01 7.311733116097282777e-03
1.400000000000000411e-01 4.732907709529948770e-01 7.182057847175010203e-03
1.450000000000000455e-01 4.413501832811882464e-01 7.035851859929645805e-03
1.500000000000000500e-01 4.062640979034234379e-01 7.304993795841470058e-03
1.550000000000000544e-01 3.727688611723371515e-01 7.334433274539013496e-03
1.600000000000000588e-01 3.601592899985096019e-01 7.363454876422671595e-03
1.650000000000000633e-01 3.348328369020003303e-01 7.400747355745065405e-03
1.700000000000000677e-01 3.171598889745332328e-01 7.426340875942679526e-03
1.750000000000000722e-01 3.115677484851889223e-01 7.364763449648119818e-03
1.800000000000000766e-01 2.800896786951102002e-01 6.351184348482519053e-03
1.850000000000000810e-01 2.681448231271131299e-01 6.437470729955947941e-03
1.900000000000000855e-01 2.597856855258337538e-01 6.236463970606185084e-03
1.950000000000000899e-01 2.434341457114697349e-01 6.262282561991718878e-03
2.000000000000000944e-01 2.360447075138943085e-01 6.344292765608893631e-03
2.050000000000000988e-01 2.220467195078450751e-01 6.427732032829087776e-03
2.100000000000001033e-01 2.154669415543732092e-01 6.228370054517336392e-03
2.150000000000001077e-01 2.263656366967977118e-01 6.481649436922206665e-03
2.200000000000001121e-01 2.041286575342569076e-01 6.043602563846606907e-03
2.250000000000001166e-01 1.972999522033471453e-01 6.323994159096665846e-03
2.300000000000001210e-01 1.847389676782373313e-01 6.092707149033249441e-03
2.350000000000001255e-01 1.835165111451078079e-01 6.324727501503412189e-03
2.400000000000001299e-01 1.677923607706284514e-01 6.524896698401303451e-03
2.450000000000001343e-01 1.532272229274949937e-01 6.521478426253848014e-03
2.500000000000001110e-01 1.657081802879096510e-01 6.836778223269006534e-03
2.550000000000001155e-01 1.562257946126137942e-01 6.738140925486910300e-03
2.600000000000001199e-01 1.480238214688862075e-01 6.941059398686874604e-03
2.650000000000001243e-01 1.445428639904970669e-01 6.758384843320969573e-03
2.700000000000001288e-01 1.423451826972707002e-01 7.070571566812616261e-03
2.750000000000001332e-01 1.470673407712257963e-01 6.738833771713067210e-03
2.800000000000001377e-01 1.311742272011446886e-01 6.795567359372337198e-03
2.850000000000001421e-01 1.308089016649921776e-01 6.899113365239926098e-03
2.900000000000001465e-01 1.417054259854895470e-01 6.826435722529814246e-03
2.950000000000001510e-01 1.197189861573574043e-01 6.864966307007358028e-03
3.000000000000001554e-01 1.235409302882892330e-01 6.745464733298680952e-03
3.050000000000001599e-01 1.193519143910891922e-01 6.790253728358651604e-03
3.100000000000001643e-01 1.182764856840259060e-01 6.707195720575304283e-03
3.150000000000001688e-01 1.103944387437636315e-01 6.748609404447857181e-03
3.200000000000001732e-01 1.156689462666571078e-01 6.537524861219345257e-03
3.250000000000001776e-01 1.141753232961262160e-01 6.450627895952973714e-03
3.300000000000001821e-01 1.044724134430191215e-01 6.274909524410830254e-03
3.350000000000001865e-01 1.094770650245130150e-01 6.192678839374458899e-03
3.400000000000001910e-01 9.410632234099776394e-02 6.078238877398348117e-03
3.450000000000001954e-01 9.777009775778781886e-02 6.370107274856201887e-03
3.500000000000001998e-01 9.556792424547322362e-02 5.841930168526256704e-03
