# q I sigma_saved_BIFT_input
4.100000000000000172e-02 2.642439958574369641e+00 1.867034720460500341e-02
4.199999999999999567e-02 2.572476081206588550e+00 1.839871495102447102e-02
4.299999999999999656e-02 2.535443274197568098e+00 1.803892014733922411e-02
4.399999999999999745e-02 2.461725293861721564e+00 1.772622829586228271e-02
4.499999999999999833e-02 2.404362562312784224e+00 1.736102760514338789e-02
4.599999999999999922e-02 2.350570490104591403e+00 1.695503367564372629e-02
4.700000000000000011e-02 2.313215708880060895e+00 1.673912599531837686e-02
4.800000000000000100e-02 2.262081041251490010e+00 1.644172623611987738e-02
4.899999999999999495e-02 2.196989194300472015e+00 1.618606839144357337e-02
5.000000000000000278e-02 2.168820229977720615e+00 1.607263255726511936e-02
5.200000000000000455e-02 2.039592009445998944e+00 1.090671494993588481e-02
5.400000000000000633e-02 1.943596015007213573e+00 1.064593687197843905e-02
5.600000000000000810e-02 1.849408209986034501e+00 1.070023406342685696e-02
5.800000000000000988e-02 1.756618636956881918e+00 1.071440350850207633e-02
6.000000000000001166e-02 1.686516216819835989e+00 1.054755728609369295e-02
6.200000000000001343e-02 1.616681879457356752e+00 1.005403854617035672e-02
6.400000000000001521e-02 1.548033132318833216e+00 9.766870682842944060e-03
6.600000000000001699e-02 1.459138356258518066e+00 9.502387312919873333e-03
6.800000000000001876e-02 1.392048301102987162e+00 9.241076329942306961e-03
7.000000000000002054e-02 1.320487036086843480e+00 9.066755626282793981e-03
7.200000000000002232e-02 1.270828499541789780e+00 8.959029254341685164e-03
7.400000000000002409e-02 1.222335285181076037e+00 8.903366770171497122e-03
7.600000000000002587e-02 1.166061772345983849e+00 8.666636339581633777e-03
7.800000000000002764e-02 1.107703307539855464e+00 8.613958887200231368e-03
8.000000000000002942e-02 1.066603410991871614e+00 8.697720422166377308e-03
8.200000000000003120e-02 1.012458270377973868e+00 8.643273119020003850e-03
8.400000000000003297e-02 9.767870353153224050e-01 8.339396713611852557e-03
8.600000000000003475e-02 9.562575875941036196e-01 8.142215717168820380e-03
8.800000000000003653e-02 8.999647789201979942e-01 8.218786449296980323e-03
9.000000000000003830e-02 8.734409330018345630e-01 8.211158447751021675e-03
9.200000000000004008e-02 8.474868446839999292e-01 8.097627840758080814e-03
9.400000000000004186e-02 8.099513142519921827e-01 8.058321957270518296e-03
9.600000000000004363e-02 7.833106885340194170e-01 8.054724911419577915e-03
9.800000000000004541e-02 7.464962394823707603e-01 8.010900095296790910e-03
1.000000000000000056e-01 7.206186973281960562e-01 7.929332680183186557e-03
1.050000000000000100e-01 6.625089011116409576e-01 4.890867291838344420e-03
1.100000000000000144e-01 6.091626004776232728e-01 4.784520781580510820e-03
1.150000000000000189e-01 5.677247004900783933e-01 4.677511365931194716e-03
1.200000000000000233e-01 5.098861494874793454e-01 4.589601869621189739e-03
1.250000000000000278e-01 4.838538626482581373e-01 4.638142970072137682e-03
1.300000000000000322e-01 4.460122098580827088e-01 4.672727273355247943e-03
1.350000000000000366e-01 4.224142490979505005e-01 4.488367470299407108e-03
1.400000000000000411e-01 3.924237152891475455e-01 4.405826858409717280e-03
1.450000000000000455e-01 3.658734839562320929e-01 4.333640239249237323e-03
1.500000000000000500e-01 3.451087168479198275e-01 4.500294280111935552e-03
1.550000000000000544e-01 3.183290119160219200e-01 4.525697007739928890e-03
1.600000000000000588e-01 2.975533030019684722e-01 4.549304953429974402e-03
1.650000000000000633e-01 2.890431862345039793e-01 4.583915453070869922e-03
1.700000000000000677e-01 2.663602827011556373e-01 4.603962557342215420e-03
1.750000000000000722e-01 2.528320422748584484e-01 4.564014768332774058e-03
1.800000000000000766e-01 2.439270511151057919e-01 3.970672691908113880e-03
1.850000000000000810e-01 2.312463527073196079e-01 3.939665084701706767e-03
1.900000000000000855e-01 2.185110379516624346e-01 3.836299383816538927e-03
1.950000000000000899e-01 2.041674031345821760e-01 3.828621200825652916e-03
2.000000000000000944e-01 2.009397488602233939e-01 3.927440608277204571e-03
2.050000000000000988e-01 1.889366368152922970e-01 3.986287775890635411e-03
2.100000000000001033e-01 1.802322126501482158e-01 3.923392519105397061e-03
2.150000000000001077e-01 1.792097041277629366e-01 3.996010314299956213e-03
2.200000000000001121e-01 1.693204906807541654e-01 3.875957098794285006e-03
2.250000000000001166e-01 1.632053594209331160e-01 3.903104073148118327e-03
2.300000000000001210e-01 1.563244329595044058e-01 3.764911427143230200e-03
2.350000000000001255e-01 1.561562991029905867e-01 3.950530248756100628e-03
2.400000000000001299e-01 1.408273106042952638e-01 4.205627561570210449e-03
2.450000000000001343e-01 1.392387386387961279e-01 4.058359056334656656e-03
