# q_A^-1 I sigma_shared_background
3.500000000000001998e-01 7.621743245878447211e-03 4.649129175305843735e-03
3.550000000000002043e-01 8.944984935001735332e-03 4.937197910193494299e-03
3.600000000000002087e-01 7.221444188667961936e-03 4.786356531002813192e-03
3.650000000000002132e-01 6.028642866589010475e-03 4.982841390536588318e-03
3.700000000000002176e-01 6.123821104015235006e-04 4.732825582540109433e-03
3.750000000000002220e-01 5.319169863805486669e-03 4.602689390549360299e-03
3.800000000000002265e-01 3.687955002684202392e-03 4.592971513449469086e-03
3.850000000000002309e-01 9.331186700839136719e-03 4.681109306185674175e-03
3.900000000000002354e-01 4.349684358952552073e-03 4.307071385739766507e-03
3.950000000000002398e-01 7.342607498218909831e-03 4.490191403816720661e-03
4.000000000000002442e-01 5.417212762666976690e-03 4.345472049759989928e-03
4.050000000000002487e-01 1.270641724576039751e-02 4.909750461371016964e-03
4.100000000000002531e-01 7.595410716232362837e-03 4.732218243438072493e-03
4.150000000000002576e-01 4.866322407382403167e-03 4.991815676830336709e-03
4.200000000000002620e-01 1.242829099225960764e-02 4.376030629580971928e-03
4.250000000000002665e-01 3.147411779434399967e-03 4.298984836320045820e-03
4.300000000000002709e-01 5.777990490615341097e-03 4.308711311568585826e-03
4.350000000000002753e-01 9.446075216930076290e-03 4.296802990286078573e-03
4.400000000000002798e-01 3.255649548521664070e-03 4.253384406551158868e-03
4.450000000000002842e-01 4.347852672113195968e-03 4.082129976611535011e-03
4.500000000000002887e-01 4.850799220140124268e-03 4.225796006442099004e-03
4.550000000000002931e-01 4.067250788533573191e-03 4.157943831656119721e-03
4.600000000000002975e-01 4.462373917484834147e-03 4.024785200405559676e-03
4.650000000000003020e-01 2.965413441955545154e-03 4.056991797928099705e-03
4.700000000000003064e-01 4.342585749154284115e-03 4.088736725995646346e-03
4.750000000000003109e-01 5.706147803328825291e-03 3.874516677751810995e-03
4.800000000000003153e-01 8.441016188917332269e-03 4.178027868436758226e-03
4.850000000000003197e-01 1.803186170771659642e-03 3.860922673636294888e-03
4.900000000000003242e-01 6.147894981125043290e-03 3.942180772284900082e-03
4.950000000000003286e-01 8.570009346424141503e-04 3.753204083853242060e-03
5.000000000000000000e-01 1.505176428050408483e-03 4.446778530490278630e-03
5.100000000000000089e-01 7.129038442519850492e-03 2.789703908858517239e-03
5.200000000000000178e-01 5.476660168568348898e-03 2.614115887734975129e-03
5.300000000000000266e-01 1.763339149094034696e-03 2.643258486894280862e-03
5.400000000000000355e-01 3.852972820198709378e-03 2.586647480117199114e-03
5.500000000000000444e-01 4.429747360965590255e-03 2.569894035374779579e-03
5.600000000000000533e-01 5.642575177161546218e-03 2.496043442212594540e-03
5.700000000000000622e-01 4.211736600680614402e-03 2.426056477706758051e-03
5.800000000000000711e-01 3.917809147060600204e-03 2.495274216238017092e-03
5.900000000000000799e-01 5.779785023238183037e-03 2.420323493187479837e-03
6.000000000000000888e-01 2.533930346971063636e-03 2.478453672306446011e-03
6.100000000000000977e-01 4.145850993656541132e-03 2.472175800634042638e-03
6.200000000000001066e-01 6.570357433717523461e-03 2.399265128186623894e-03
6.300000000000001155e-01 2.066551636857866378e-04 2.382026932387130373e-03
6.400000000000001243e-01 6.012471369151626069e-03 2.325677845425296996e-03
6.500000000000001332e-01 5.086807417843296902e-03 2.342224528628212774e-03
6.600000000000001421e-01 4.264194905058812414e-03 2.316906360922926181e-03
6.700000000000001510e-01 1.911684193266989951e-03 2.359743250631401133e-03
6.800000000000001599e-01 5.574940204787469551e-03 2.306077874499926159e-03
6.900000000000001688e-01 2.560371203051826309e-03 2.302121478289054484e-03
7.000000000000001776e-01 4.401518629406163570e-03 2.345200826780139552e-03
7.100000000000001865e-01 2.353129323932546721e-04 2.309335728990756249e-03
7.200000000000001954e-01 5.451962937673362868e-03 2.327239451470921455e-03
7.300000000000002043e-01 3.484278683856880787e-03 2.323814598877879146e-03
7.400000000000002132e-01 3.000904878163411331e-03 2.314811822255505823e-03
7.500000000000002220e-01 4.260005577523452540e-03 2.306067856038796025e-03
7.600000000000002309e-01 3.000382898391794340e-03 2.339195913645736400e-03
7.700000000000002398e-01 4.086745948417955417e-03 2.337543201834311937e-03
7.800000000000002487e-01 3.432145716617564495e-03 2.376724111516335426e-03
7.900000000000002576e-01 4.769900113850707168e-03 2.390880706083711206e-03
8.000000000000002665e-01 2.217172359798800889e-03 2.359468829841447710e-03
8.100000000000002753e-01 2.075724024698197626e-03 2.354003680462708227e-03
8.200000000000002842e-01 3.964226290857997791e-03 2.387557350212748345e-03
8.300000000000002931e-01 3.336034389396921266e-03 2.432668304868389458e-03
8.400000000000003020e-01 1.770856316927109896e-03 2.444561485225888592e-03
8.500000000000003109e-01 2.655337133359738418e-03 2.430564238247292629e-03
8.600000000000003197e-01 7.653642192991875733e-04 2.439147671348762623e-03
8.700000000000003286e-01 6.271719136060547629e-03 2.448975839346343667e-03
8.800000000000003375e-01 5.264854947979639467e-03 2.370762236768073246e-03
8.900000000000003464e-01 2.461651860334330283e-03 2.299250259913721700e-03
9.000000000000003553e-01 3.505801323524087090e-03 2.298266022674716035e-03
9.100000000000003642e-01 7.495302001893914406e-03 2.340529065026643839e-03
9.200000000000003730e-01 1.927107729036426449e-03 2.316586674133751678e-03
9.300000000000003819e-01 1.122831474998727550e-03 2.319166749641513470e-03
9.400000000000003908e-01 2.763528846855438977e-03 2.318250689735977099e-03
9.500000000000003997e-01 1.767535325634451027e-03 2.354434440284878301e-03
9.600000000000004086e-01 3.653515864069295689e-03 2.363036502567007757e-03
9.700000000000004174e-01 2.803771135312727210e-03 2.394287642574829435e-03
9.800000000000004263e-01 3.969534096188020479e-03 2.452752830862037041e-03
9.900000000000004352e-01 3.105093387545427783e-03 2.470834287952480748e-03
1.000000000000000000e+00 3.436575611915853798e-03 2.484690675708477355e-03
1.030000000000000027e+00 3.004715213590018752e-03 1.541582889055843376e-03
1.060000000000000053e+00 2.938178894506024430e-03 1.636244768448635693e-03
1.090000000000000080e+00 3.679532193248559631e-03 1.730469672773221352e-03
1.120000000000000107e+00 2.279028932096832660e-03 1.720284453659674806e-03
1.150000000000000133e+00 2.999733391846361868e-03 1.735817991551930799e-03
1.180000000000000160e+00 3.163141700076687549e-03 1.990690973928473714e-03
