# q_A^-1 I sigma_shared_background
6.500000000000001332e-01 1.839271362009150396e-02 2.476126001613339171e-03
6.600000000000001421e-01 2.222198800664948112e-02 2.455593419920222998e-03
6.700000000000001510e-01 1.859779095531241197e-02 2.518811332615486075e-03
6.800000000000001599e-01 1.771946985096347835e-02 2.473638062604967443e-03
6.900000000000001688e-01 1.742298809227306108e-02 2.456812692114826013e-03
7.000000000000001776e-01 1.682546942775689156e-02 2.506932660748898648e-03
7.100000000000001865e-01 1.429861949731698820e-02 2.444998179278040206e-03
7.200000000000001954e-01 1.450812203431894182e-02 2.469851356922477155e-03
7.300000000000002043e-01 1.628093004801738769e-02 2.473484333010900291e-03
7.400000000000002132e-01 1.549152034601836148e-02 2.474096556001355914e-03
7.500000000000002220e-01 1.395618251183741894e-02 2.450262730992984386e-03
7.600000000000002309e-01 1.588960992112864110e-02 2.477932273435174641e-03
7.700000000000002398e-01 1.683061064238220925e-02 2.485324527961504069e-03
7.800000000000002487e-01 1.632400709043391185e-02 2.542493160789251541e-03
7.900000000000002576e-01 1.647507183827366314e-02 2.555896737464301641e-03
8.000000000000002665e-01 1.460305433751697170e-02 2.527504452077365855e-03
8.100000000000002753e-01 1.839208263585900838e-02 2.499515957357279720e-03
8.200000000000002842e-01 1.314249400307224841e-02 2.540176944300584234e-03
8.300000000000002931e-01 1.398608342359368255e-02 2.571572351464424672e-03
8.400000000000003020e-01 1.239859847400212427e-02 2.611926286362050483e-03
8.500000000000003109e-01 1.448878535876456375e-02 2.606846808097547982e-03
8.600000000000003197e-01 1.215050360491116282e-02 2.643756698200227379e-03
8.700000000000003286e-01 1.268614385035592498e-02 2.618171760313648278e-03
8.800000000000003375e-01 1.633352466302463377e-02 2.529082968410532525e-03
8.900000000000003464e-01 1.257667453514799312e-02 2.452365022450155637e-03
9.000000000000003553e-01 1.300112505262920881e-02 2.437269508957231982e-03
9.100000000000003642e-01 1.506756132674924066e-02 2.490050122351025307e-03
9.200000000000003730e-01 1.360077445897875902e-02 2.463626510914638298e-03
9.300000000000003819e-01 1.325959465795705991e-02 2.467423349129749255e-03
9.400000000000003908e-01 1.203988154123272758e-02 2.478491812627001047e-03
9.500000000000003997e-01 1.181740984596431170e-02 2.513546072646576438e-03
9.600000000000004086e-01 9.109920107989197963e-03 2.504737079240434029e-03
9.700000000000004174e-01 1.382828949444600726e-02 2.538522347770424958e-03
9.800000000000004263e-01 1.150295436101800121e-02 2.608713068486954306e-03
9.900000000000004352e-01 1.021417859138653780e-02 2.629679953172966121e-03
1.000000000000000000e+00 1.288772249007457890e-02 2.657912608314056801e-03
1.030000000000000027e+00 1.359255604177138192e-02 1.648435251294776398e-03
1.060000000000000053e+00 1.146339666929950540e-02 1.746494341756775785e-03
1.090000000000000080e+00 1.221158207138225635e-02 1.845138369619448620e-03
1.120000000000000107e+00 1.208189250917149869e-02 1.837737625722328863e-03
1.150000000000000133e+00 1.269162125851575756e-02 1.849760838859403804e-03
1.180000000000000160e+00 1.382554579303152918e-02 2.122296811037377960e-03
1.210000000000000187e+00 1.333883548896735646e-02 2.378615573014153210e-03
1.240000000000000213e+00 1.432334317032176764e-02 2.561270702156037780e-03
1.270000000000000240e+00 1.243358145723022154e-02 2.787579398680376137e-03
1.300000000000000266e+00 1.461220963353211492e-02 3.048549135759092560e-03
1.330000000000000293e+00 1.375625054248850315e-02 3.430117998491301248e-03
1.360000000000000320e+00 1.479847338605197113e-02 3.854713999201042282e-03
1.390000000000000346e+00 1.458776121648757730e-02 4.976096646192361070e-03
1.420000000000000373e+00 1.414830840682757343e-02 5.254927578840397871e-03
1.450000000000000400e+00 1.574162235036642710e-02 5.403167226501712737e-03
1.480000000000000426e+00 1.595644013013793744e-02 5.931370943537458279e-03
1.510000000000000453e+00 1.606814399089692355e-02 6.611120506204870399e-03
1.540000000000000480e+00 1.621414831659540381e-02 7.430831914692966056e-03
1.570000000000000506e+00 1.490457595362252100e-02 8.346991000188356061e-03
1.600000000000000533e+00 1.432746824760673665e-02 9.338964154005292839e-03
1.630000000000000560e+00 1.527742440133593622e-02 1.046410915776307612e-02
1.660000000000000586e+00 1.683901334936056121e-02 1.169256387359366225e-02
1.690000000000000613e+00 1.340520599766503555e-02 1.290809643762889751e-02
