# q_A^-1 I sigma_shared_background
2.260000000000001119e+00 -3.682310458513809656e-03 1.826811720813137016e-02
2.290000000000000924e+00 -5.541386440876081877e-03 1.745465671580232955e-02
2.320000000000001172e+00 -5.329530031767008152e-03 1.674199863522074505e-02
2.350000000000001421e+00 -5.551113232079170866e-03 1.613068135710289674e-02
2.380000000000001226e+00 -3.604309222570658937e-03 1.622251117408716678e-02
2.410000000000001030e+00 -4.806468321955818281e-03 1.643424496273475366e-02
2.440000000000001279e+00 -3.425609737671064456e-03 1.556369664874206193e-02
2.470000000000001528e+00 -3.995650916249788610e-03 1.533651829253416393e-02
2.500000000000001332e+00 -4.112168318302842664e-03 1.494747371215903592e-02
2.530000000000001137e+00 -5.091627140231088505e-03 1.483456166252813783e-02
2.560000000000001386e+00 -4.729346274880689982e-03 1.486085975857028528e-02
2.590000000000001634e+00 -2.290184072833163342e-03 1.493404911968719377e-02
2.620000000000001439e+00 -2.486631452181486263e-03 1.500615167792027256e-02
2.650000000000001243e+00 -3.704585422453975704e-03 1.520323684587596841e-02
2.680000000000001492e+00 -5.245048984551024460e-03 1.577103771459575920e-02
2.710000000000001741e+00 -2.714711306234456490e-03 1.620173419580463528e-02
2.740000000000001545e+00 -3.484663106058324706e-03 1.646141042660318951e-02
2.770000000000001350e+00 -3.924969856892948465e-03 1.661111374393388698e-02
2.800000000000001599e+00 -5.708406585287338630e-03 1.664363540956629098e-02
2.830000000000001847e+00 -2.600067910573538622e-03 1.660519631254472536e-02
2.860000000000001652e+00 -7.259693853262657150e-04 1.648291936901860946e-02
2.890000000000001457e+00 -3.236860249908486524e-03 1.630111068257953863e-02
2.920000000000001705e+00 -2.398643838911136521e-03 1.604321771414203568e-02
2.950000000000001954e+00 -1.389915945502543911e-04 1.578262334891463239e-02
2.980000000000001759e+00 -2.293298810636309852e-03 1.563208790109303636e-02
3.010000000000001563e+00 -3.932169260509571062e-04 1.514297534350805136e-02
3.040000000000001812e+00 -2.714916448228825419e-04 1.485425974658850443e-02
3.070000000000002061e+00 -1.172075286603515079e-03 1.417120144318730762e-02
3.100000000000001865e+00 -4.131767940241766663e-04 1.409989339332495296e-02
3.130000000000001670e+00 4.104768640134152350e-04 1.493723401400093818e-02
3.160000000000001918e+00 -2.749734322008875933e-03 1.452814955482189391e-02
3.190000000000002167e+00 -1.431984308390464285e-03 1.484637569779963077e-02
