# q_A^-1 I sigma_shared_background
3.100000000000001643e-01 3.294847777145844259e-02 5.379637127776987389e-03
3.150000000000001688e-01 2.844418145249006866e-02 5.304334380560613363e-03
3.200000000000001732e-01 2.913340837885019033e-02 5.080981186324345748e-03
3.250000000000001776e-01 1.715597358018034965e-02 5.165546898869853576e-03
3.300000000000001821e-01 2.454059617235361188e-02 5.171510246721400944e-03
3.350000000000001865e-01 2.547182204363371977e-02 5.021496657983195999e-03
3.400000000000001910e-01 2.428912803672331894e-02 4.952182735855777639e-03
3.450000000000001954e-01 1.821856530768626442e-02 5.152123059425289114e-03
3.500000000000001998e-01 2.174716240531163886e-02 4.620597047189285191e-03
3.550000000000002043e-01 2.616956238862819251e-02 4.846428051463361197e-03
3.600000000000002087e-01 1.870251020784347365e-02 4.786208803892370335e-03
3.650000000000002132e-01 1.546502052975590354e-02 4.856261526481949788e-03
3.700000000000002176e-01 2.519185425697415687e-02 4.760127130467463503e-03
3.750000000000002220e-01 2.202734280821314755e-02 4.577008303895932322e-03
3.800000000000002265e-01 2.159415899494495847e-02 4.613304491775845236e-03
3.850000000000002309e-01 2.125444836926147774e-02 4.597329563296335617e-03
3.900000000000002354e-01 1.760350487264174951e-02 4.354500753551135417e-03
3.950000000000002398e-01 1.971251230819533184e-02 4.533425391391562170e-03
4.000000000000002442e-01 1.663920602522691791e-02 4.378300027595641818e-03
4.050000000000002487e-01 2.243100074951086612e-02 4.870808590054813945e-03
4.100000000000002531e-01 2.163371387242371893e-02 4.736064683893584024e-03
4.150000000000002576e-01 1.676997257749095541e-02 4.922894325051503650e-03
4.200000000000002620e-01 1.880291320671084732e-02 4.308230142434194346e-03
4.250000000000002665e-01 1.631026941602447058e-02 4.254356876307116217e-03
4.300000000000002709e-01 1.411704587823483376e-02 4.351005488930712560e-03
4.350000000000002753e-01 1.539313574594588716e-02 4.348266386404443101e-03
4.400000000000002798e-01 2.036043562133803275e-02 4.231123187001558164e-03
4.450000000000002842e-01 1.758199205400604731e-02 4.082297476173540191e-03
4.500000000000002887e-01 2.150920343760749642e-02 4.201160850897341092e-03
4.550000000000002931e-01 1.266067469643115430e-02 4.081303195668042200e-03
4.600000000000002975e-01 1.836809010238275169e-02 4.087748795473283153e-03
4.650000000000003020e-01 1.961938307470495815e-02 4.011740078086234278e-03
4.700000000000003064e-01 1.688403498351322141e-02 4.160547057669407994e-03
4.750000000000003109e-01 1.287627995871647515e-02 3.883303103769304189e-03
4.800000000000003153e-01 1.639486410892243562e-02 4.194186815636541735e-03
4.850000000000003197e-01 1.554854139022876329e-02 3.921302647959220775e-03
4.900000000000003242e-01 1.190261875197614651e-02 4.017959514187488361e-03
4.950000000000003286e-01 1.351664464482604799e-02 3.769401931967609337e-03
5.000000000000000000e-01 1.772912514955673688e-02 4.471574498148133715e-03
5.100000000000000089e-01 1.507102797810660859e-02 2.824468677139797476e-03
5.200000000000000178e-01 1.598320228400389523e-02 2.621650459431829495e-03
5.300000000000000266e-01 1.411503935934001024e-02 2.661639412210742468e-03
5.400000000000000355e-01 1.731321714401623871e-02 2.602876197280530515e-03
5.500000000000000444e-01 1.658604597613701215e-02 2.551102115699071821e-03
5.600000000000000533e-01 1.557538618263182295e-02 2.471848216415952447e-03
5.700000000000000622e-01 1.433622329657150557e-02 2.463141679503095139e-03
5.800000000000000711e-01 1.615860182889934313e-02 2.481892841600819716e-03
5.900000000000000799e-01 1.321939016226867346e-02 2.454499008605578667e-03
6.000000000000000888e-01 1.306161223111889334e-02 2.525351322062195820e-03
6.100000000000000977e-01 1.558687832110662412e-02 2.467826566026578693e-03
6.200000000000001066e-01 1.158732614175763884e-02 2.410385791014381732e-03
6.300000000000001155e-01 1.502839098972488449e-02 2.391871344228714818e-03
6.400000000000001243e-01 9.841977072758868392e-03 2.342206922062638804e-03
6.500000000000001332e-01 1.192920128499330538e-02 2.334804551338822906e-03
6.600000000000001421e-01 1.171506846544419916e-02 2.297339193153276164e-03
6.700000000000001510e-01 1.342715599535680877e-02 2.372442867316962821e-03
6.800000000000001599e-01 1.075436706418411367e-02 2.313165230435976129e-03
6.900000000000001688e-01 9.436595842870022788e-03 2.322985559479183535e-03
7.000000000000001776e-01 1.151041103679778695e-02 2.330607078416865180e-03
7.100000000000001865e-01 1.183311896942590424e-02 2.296464234500063695e-03
7.200000000000001954e-01 9.260057978998138123e-03 2.347118126877819483e-03
7.300000000000002043e-01 8.478240490339150962e-03 2.343345655899606913e-03
7.400000000000002132e-01 1.247812150868356923e-02 2.345277490752626249e-03
7.500000000000002220e-01 1.053397702466007772e-02 2.309842962796412359e-03
7.600000000000002309e-01 9.362734330484633744e-03 2.322757417513767863e-03
7.700000000000002398e-01 1.290545667660447648e-02 2.365743768688260626e-03
7.800000000000002487e-01 9.973920719370076363e-03 2.406760201219335007e-03
7.900000000000002576e-01 1.042829720201339343e-02 2.420294382872210850e-03
8.000000000000002665e-01 1.016294590259954334e-02 2.387782829718074814e-03
8.100000000000002753e-01 1.134610896101951802e-02 2.369278404589427768e-03
8.200000000000002842e-01 8.075083370637526139e-03 2.385029755897323349e-03
8.300000000000002931e-01 1.089604585792513028e-02 2.440704040714581149e-03
8.400000000000003020e-01 9.322524334116899514e-03 2.469116009486940246e-03
8.500000000000003109e-01 1.199864473160329285e-02 2.451054400736337596e-03
8.600000000000003197e-01 8.442339844348847877e-03 2.448771845279913532e-03
8.700000000000003286e-01 7.077134185962364113e-03 2.453360042516477234e-03
8.800000000000003375e-01 8.852356962149102171e-03 2.395132013692556107e-03
8.900000000000003464e-01 1.005443643612420439e-02 2.319825729084900277e-03
9.000000000000003553e-01 1.248518654616227394e-02 2.320789585779481964e-03
9.100000000000003642e-01 8.223998030541081541e-03 2.357821114002814529e-03
9.200000000000003730e-01 8.394263993917384925e-03 2.317339665114373590e-03
9.300000000000003819e-01 9.944863816510076532e-03 2.330569848960871437e-03
9.400000000000003908e-01 8.375396115525915453e-03 2.326892653069878667e-03
9.500000000000003997e-01 9.612448151016849199e-03 2.376789477978320363e-03
9.600000000000004086e-01 7.502641855172065104e-03 2.369477002101723351e-03
9.700000000000004174e-01 1.053153766343706450e-02 2.397415437525654992e-03
9.800000000000004263e-01 8.972060054201548215e-03 2.460926913159854588e-03
9.900000000000004352e-01 8.011974555939185144e-03 2.473068569798781216e-03
1.000000000000000000e+00 9.539488334749357187e-03 2.516674978831934337e-03
1.030000000000000027e+00 8.690467952664749501e-03 1.553540206393199362e-03
1.060000000000000053e+00 8.602328216359332591e-03 1.647206728415392040e-03
1.090000000000000080e+00 9.178626446316773962e-03 1.734751341461679766e-03
1.120000000000000107e+00 8.456648214031026178e-03 1.726545391031517832e-03
1.150000000000000133e+00 8.528967608252103344e-03 1.743412166985263898e-03
1.180000000000000160e+00 1.094162415144714871e-02 2.000235441464937904e-03
1.210000000000000187e+00 1.047814166617464654e-02 2.240123191408638186e-03
1.240000000000000213e+00 1.032374357355727787e-02 2.416651328217896567e-03
