# q_A^-1 I sigma_shared_background
9.600000000000004086e-01 2.931315040516831085e-03 2.511728765724313348e-03
9.700000000000004174e-01 2.823790040910267862e-03 2.543809826237767181e-03
9.800000000000004263e-01 3.915080233433804874e-03 2.607371354026197935e-03
9.900000000000004352e-01 3.278872508246718966e-03 2.626940981141024679e-03
1.000000000000000000e+00 3.495372085347234984e-03 2.642433135829564631e-03
1.030000000000000027e+00 3.113735168752143189e-03 1.639656170257746456e-03
1.060000000000000053e+00 2.896752909275122044e-03 1.740155535444305821e-03
1.090000000000000080e+00 3.702069538937761278e-03 1.840279215046061040e-03
1.120000000000000107e+00 2.204121290469257012e-03 1.829277791691994327e-03
1.150000000000000133e+00 2.971666869419882853e-03 1.845652749747128890e-03
1.180000000000000160e+00 3.199903232014235117e-03 2.116768453841249512e-03
1.210000000000000187e+00 2.690818109113324048e-03 2.368203746850484816e-03
1.240000000000000213e+00 2.722344466369828846e-03 2.553717075200770577e-03
1.270000000000000240e+00 1.985678242699403379e-03 2.779210319387835464e-03
1.300000000000000266e+00 3.097161357582486809e-03 3.040308382445738086e-03
1.330000000000000293e+00 3.319382972796881305e-03 3.423429452172486922e-03
1.360000000000000320e+00 4.008287167923595302e-03 3.841709108376023876e-03
1.390000000000000346e+00 2.886421151270912588e-03 4.965002388074145345e-03
1.420000000000000373e+00 3.968357849396116424e-03 5.244009069890778925e-03
1.450000000000000400e+00 4.662998879952091023e-03 5.388678065314668648e-03
1.480000000000000426e+00 5.520634746984671992e-03 5.914145750914916178e-03
1.510000000000000453e+00 3.472939146639683443e-03 6.589700977936344302e-03
1.540000000000000480e+00 5.309057394480941675e-03 7.405374763312291136e-03
1.570000000000000506e+00 4.770737715086422089e-03 8.327894525144428559e-03
1.600000000000000533e+00 4.315530656554568238e-03 9.313626924563741735e-03
1.630000000000000560e+00 3.496314642793725731e-03 1.043693079067806173e-02
1.660000000000000586e+00 5.744226837080256519e-03 1.166337275576983384e-02
1.690000000000000613e+00 4.960566092112764919e-03 1.287702847347978706e-02
1.720000000000000639e+00 2.029689726653996409e-03 1.414153711052198482e-02
1.750000000000000666e+00 2.183618943561500218e-03 1.558621359801361586e-02
1.780000000000000693e+00 3.744526768063569100e-03 1.801508780608452806e-02
1.810000000000000719e+00 4.202580375691771994e-03 2.025399833911193520e-02
1.840000000000000746e+00 3.035600419623275641e-03 2.149304881018559987e-02
1.870000000000000773e+00 1.948457497082003824e-03 2.208234115388487545e-02
1.900000000000000799e+00 8.642717434916133337e-04 2.295762405531243805e-02
1.930000000000000826e+00 -1.209133833913324718e-03 2.373705086999188321e-02
1.960000000000000853e+00 1.971100234882075964e-03 2.440723680440190155e-02
1.990000000000000879e+00 1.972047128254886521e-03 3.428332986543333738e-02
2.020000000000000906e+00 7.863116553495770556e-04 2.561653835128524168e-02
2.050000000000000711e+00 -8.010418278359879415e-05 2.549825759174188106e-02
2.080000000000000959e+00 -1.644809316689402681e-03 2.483772734088257952e-02
2.110000000000001208e+00 -1.129058139494319365e-03 2.378896087841940801e-02
2.140000000000001013e+00 -3.479082786176657290e-03 2.275127424287375077e-02
2.170000000000000817e+00 -2.591875609489949824e-03 2.134888343802194069e-02
2.200000000000001066e+00 -5.158416393140402047e-03 2.005332333656236962e-02
2.230000000000001315e+00 -4.348607493227948928e-03 1.904339758038798430e-02
2.260000000000001119e+00 -6.158752760090560781e-03 1.825975322282379423e-02
2.290000000000000924e+00 -4.414537451364144473e-03 1.745542667764892267e-02
2.320000000000001172e+00 -5.610896699570343260e-03 1.674397491067997068e-02
2.350000000000001421e+00 -7.900917814414393919e-03 1.612645744957941912e-02
2.380000000000001226e+00 -4.621738839624996500e-03 1.622553110857455697e-02
2.410000000000001030e+00 -5.744392121951663252e-03 1.643227321058055371e-02
2.440000000000001279e+00 -6.118997612969538993e-03 1.556508018772377773e-02
2.470000000000001528e+00 -6.299480083812875574e-03 1.533938317741531318e-02
2.500000000000001332e+00 -6.691063682912776374e-03 1.494910246994554312e-02
2.530000000000001137e+00 -4.742202846424311766e-03 1.483728246365088529e-02
2.560000000000001386e+00 -3.121266674619679275e-03 1.486107645559060948e-02
2.590000000000001634e+00 -6.837288030979603824e-03 1.492690359905413620e-02
2.620000000000001439e+00 -5.893690344769705880e-03 1.501273122042890047e-02
2.650000000000001243e+00 -5.827357295352689377e-03 1.520299679462473741e-02
2.680000000000001492e+00 -5.072316178031320913e-03 1.577162112596655966e-02
2.710000000000001741e+00 -3.453061079350655711e-03 1.620040677839034229e-02
2.740000000000001545e+00 -4.257457367888403850e-03 1.646060406057692216e-02
2.770000000000001350e+00 -4.615780963419950471e-03 1.660543220740933953e-02
2.800000000000001599e+00 -4.738405264592443662e-03 1.664482099515680880e-02
2.830000000000001847e+00 -3.808023634067441571e-03 1.660614130596764493e-02
2.860000000000001652e+00 -6.009446832442793401e-03 1.648130712634234690e-02
2.890000000000001457e+00 -6.328729249631732771e-03 1.629982553843433921e-02
2.920000000000001705e+00 -2.558953841768635794e-03 1.603452643164696156e-02
2.950000000000001954e+00 -3.256555446288127501e-03 1.577015509637211266e-02
2.980000000000001759e+00 -3.754644295170907371e-03 1.562823531696573218e-02
3.010000000000001563e+00 -3.492334402165229654e-03 1.514387497590810767e-02
3.040000000000001812e+00 -1.802694416851873416e-03 1.487117777778479422e-02
3.070000000000002061e+00 -4.277075526171747639e-03 1.417464626076579866e-02
3.100000000000001865e+00 -3.056608249246086165e-03 1.409772736591225449e-02
3.130000000000001670e+00 3.025904852801259673e-04 1.493489654997783023e-02
3.160000000000001918e+00 -2.308370051134254076e-03 1.452364231208684575e-02
3.190000000000002167e+00 -5.625767276355735005e-04 1.483926314257985775e-02
