# q_A^-1 I sigma_shared_background
8.200000000000002842e-01 1.381055614230551967e-02 2.401148837808007083e-03
8.300000000000002931e-01 1.463582179622334965e-02 2.430499262099336186e-03
8.400000000000003020e-01 1.279598480016162949e-02 2.472933624925933993e-03
8.500000000000003109e-01 1.600184706251032291e-02 2.466235890937885748e-03
8.600000000000003197e-01 1.322799149908989932e-02 2.499397305038374324e-03
8.700000000000003286e-01 1.151460419012961985e-02 2.471649537526098093e-03
8.800000000000003375e-01 1.512934813614970168e-02 2.389522129061617990e-03
8.900000000000003464e-01 1.154162831507561486e-02 2.314528308850567241e-03
9.000000000000003553e-01 1.444880527017023894e-02 2.304182563405475156e-03
9.100000000000003642e-01 1.325755864422715168e-02 2.350431322938634649e-03
9.200000000000003730e-01 1.380998031953806215e-02 2.326427791346168984e-03
9.300000000000003819e-01 1.319548929048084546e-02 2.331731719774088937e-03
9.400000000000003908e-01 1.266169173298079681e-02 2.343792639859516424e-03
9.500000000000003997e-01 1.200846189665767151e-02 2.374775640005646546e-03
9.600000000000004086e-01 1.195057668062888927e-02 2.366028634469524716e-03
9.700000000000004174e-01 1.374954846576235089e-02 2.400739314822514670e-03
9.800000000000004263e-01 1.171713955451791737e-02 2.465674323716143031e-03
9.900000000000004352e-01 9.530647383294789735e-03 2.485239083824363447e-03
1.000000000000000000e+00 1.265645636124448220e-02 2.513809085916328834e-03
1.030000000000000027e+00 1.316374421813368799e-02 1.557692235159593899e-03
1.060000000000000053e+00 1.162633887787438598e-02 1.650749430478378171e-03
1.090000000000000080e+00 1.212293517833806789e-02 1.742560691249238824e-03
1.120000000000000107e+00 1.237652923290662177e-02 1.737164090957915488e-03
1.150000000000000133e+00 1.280201624672656566e-02 1.748012823303038117e-03
1.180000000000000160e+00 1.368095043407717600e-02 2.005555987529267139e-03
1.210000000000000187e+00 1.454051377430718404e-02 2.248069936273461647e-03
1.240000000000000213e+00 1.436499054167066428e-02 2.420799706815972459e-03
1.270000000000000240e+00 1.252476590355326887e-02 2.634387865055896026e-03
1.300000000000000266e+00 1.480042538330377314e-02 2.880497214142734019e-03
1.330000000000000293e+00 1.460284797741289407e-02 3.240855419520470397e-03
1.360000000000000320e+00 1.438699253587587441e-02 3.642728360834842499e-03
1.390000000000000346e+00 1.560799786378011013e-02 4.700677074383268102e-03
1.420000000000000373e+00 1.515488950405132797e-02 4.966163545337510393e-03
1.450000000000000400e+00 1.666765107306576038e-02 5.104936033483600463e-03
1.480000000000000426e+00 1.617532602395939378e-02 5.605735222036859096e-03
1.510000000000000453e+00 1.621364005262138086e-02 6.246685944568845968e-03
1.540000000000000480e+00 1.725399905245535159e-02 7.021606193593129056e-03
1.570000000000000506e+00 1.483008081726402451e-02 7.886954439367294123e-03
1.600000000000000533e+00 1.523863700900358713e-02 8.825026861015055832e-03
1.630000000000000560e+00 1.558572455932174909e-02 9.889087681011338865e-03
1.660000000000000586e+00 1.632990137744343151e-02 1.104959155176133030e-02
1.690000000000000613e+00 1.409415219002494585e-02 1.219800387545017482e-02
1.720000000000000639e+00 1.126081111354206889e-02 1.339076216045534048e-02
1.750000000000000666e+00 1.043125020779234365e-02 1.475667315227087613e-02
1.780000000000000693e+00 8.873598872097158280e-03 1.705679245846423303e-02
1.810000000000000719e+00 8.576746750610377348e-03 1.917338837565040269e-02
1.840000000000000746e+00 5.259782664744699562e-03 2.034646304444575823e-02
1.870000000000000773e+00 2.797243135201825468e-03 2.089797842019219115e-02
1.900000000000000799e+00 3.630000005770650431e-03 2.172682077775841755e-02
1.930000000000000826e+00 1.918389325145315348e-03 2.246616781224460360e-02
1.960000000000000853e+00 -2.645157336867319715e-04 2.309403199498049827e-02
1.990000000000000879e+00 -1.315195766725720796e-03 3.249076760164396754e-02
2.020000000000000906e+00 -6.961370895759884381e-04 2.423885061846236741e-02
2.050000000000000711e+00 3.392351271739574140e-04 2.412222104502367154e-02
2.080000000000000959e+00 -4.186200281452288723e-03 2.350490358189748913e-02
2.110000000000001208e+00 1.847766053983508237e-03 2.249864678796003117e-02
2.140000000000001013e+00 -4.070584775842794878e-03 2.152285112287042820e-02
2.170000000000000817e+00 -3.085517270622700758e-03 2.019448608930893979e-02
2.200000000000001066e+00 -3.182437991476932005e-03 1.896173599236736229e-02
2.230000000000001315e+00 -2.172906997427048563e-03 1.800843974411674153e-02
2.260000000000001119e+00 2.393087784726182770e-05 1.726944662459051899e-02
2.290000000000000924e+00 -1.337094594371022061e-03 1.650133497140491429e-02
2.320000000000001172e+00 -3.176219461811767737e-03 1.582483157505725629e-02
2.350000000000001421e+00 -6.439773601115933270e-04 1.524253069863780972e-02
2.380000000000001226e+00 -2.721237882937519803e-04 1.532438485464995143e-02
2.410000000000001030e+00 -2.171672463363187155e-03 1.552979383864191293e-02
2.440000000000001279e+00 -2.111863014717129707e-03 1.470984122373991849e-02
2.470000000000001528e+00 -1.117022863868923944e-03 1.449140977658780992e-02
2.500000000000001332e+00 -3.245936727584591039e-04 1.412513497240877776e-02
2.530000000000001137e+00 -9.330307683706369221e-04 1.402034606818879266e-02
2.560000000000001386e+00 -2.962328564615696936e-04 1.404030431968777970e-02
2.590000000000001634e+00 -1.398460842223552426e-03 1.410613781745379165e-02
2.620000000000001439e+00 3.142598182560996784e-05 1.418160929419668217e-02
2.650000000000001243e+00 1.413385180562441918e-04 1.436860207541757438e-02
2.680000000000001492e+00 9.861423827644893395e-04 1.490246349012575196e-02
2.710000000000001741e+00 2.180548788508224461e-03 1.530550176678443022e-02
2.740000000000001545e+00 -1.671837266388240262e-03 1.555517213267101212e-02
2.770000000000001350e+00 1.791591198347481598e-03 1.569257022348732183e-02
2.800000000000001599e+00 1.039794798757011406e-03 1.573195941501890835e-02
2.830000000000001847e+00 1.293590365970766556e-03 1.569075909927850065e-02
2.860000000000001652e+00 1.116896576329838055e-03 1.558037014618847589e-02
2.890000000000001457e+00 8.373016378136443867e-04 1.541369261116032688e-02
2.920000000000001705e+00 7.687261461834176508e-04 1.516217283707522318e-02
2.950000000000001954e+00 1.051375080793804165e-03 1.491549136309197957e-02
2.980000000000001759e+00 -9.513072482342851011e-04 1.477462133911133270e-02
3.010000000000001563e+00 1.203215007895419878e-03 1.431730686305625506e-02
3.040000000000001812e+00 4.969657447539079951e-04 1.404851869462634545e-02
3.070000000000002061e+00 2.036046362862588624e-03 1.339705391093598021e-02
3.100000000000001865e+00 9.012273580757855984e-04 1.332181449642917681e-02
3.130000000000001670e+00 -4.820620667345111533e-04 1.412993570919299745e-02
3.160000000000001918e+00 1.350473889345771544e-03 1.373415529256677252e-02
3.190000000000002167e+00 2.613361610879264517e-03 1.401844533125842264e-02
