frame,forward_s1,forward_s2,forward_s3,forward_s4,backward_s1,backward_s2,backward_s3,backward_s4
1.390000000000000000e+02,1.218766790426132474e+02,1.272073156005305528e+01,1.076093084149308687e+01,1.048210112675342742e+01,7.677716285819672066e+02,4.080008326420632159e+01,1.542794106631781936e+01,1.461629483434110632e+01
1.400000000000000000e+02,1.341185698715881074e+02,1.296532374911143393e+01,1.085960738628582511e+01,1.056154349926178782e+01,7.661090825548676548e+02,3.890365568957008691e+01,1.542486775247676789e+01,1.461392076325860501e+01
1.410000000000000000e+02,1.456232055046642984e+02,1.335180841681582820e+01,1.104898137362970978e+01,1.056780357245617452e+01,7.641716560927957289e+02,3.676881724051848011e+01,1.537695314307085859e+01,1.461292054279799935e+01
1.420000000000000000e+02,1.564079768053086639e+02,1.346720449083076510e+01,1.118464701701804387e+01,1.057401372439381859e+01,7.621316514096432684e+02,3.516702112247738654e+01,1.533157157758855860e+01,1.461290543457911184e+01
1.430000000000000000e+02,1.660082935932772159e+02,1.352706122620100793e+01,1.133405039578018325e+01,1.058935624284890764e+01,7.600775945535432356e+02,3.330519960189182882e+01,1.523806629069802376e+01,1.455362747568464776e+01
1.440000000000000000e+02,1.754809222552715937e+02,1.390989938004642212e+01,1.146798887618247953e+01,1.066498420516150780e+01,7.581166902765983195e+02,3.141491450006284580e+01,1.518579482016050441e+01,1.453228171766024879e+01
1.450000000000000000e+02,1.845151200422141642e+02,1.400881058013580116e+01,1.147087761875396872e+01,1.101288268962040107e+01,7.560396072586592027e+02,2.965506860509205822e+01,1.506022485658226628e+01,1.453063315102698461e+01
1.460000000000000000e+02,1.924605217013760239e+02,1.409386093600657475e+01,1.200585561555819147e+01,1.137237880030599158e+01,7.539743211126477718e+02,2.725695396657405212e+01,1.497024206878596786e+01,1.444694939262995170e+01
1.470000000000000000e+02,1.991729967273169564e+02,1.412381244767525068e+01,1.200696090217847889e+01,1.137237889609079744e+01,7.520756709223863936e+02,2.455103133238647217e+01,1.493222302608593743e+01,1.409546310463269059e+01
1.480000000000000000e+02,2.050612405437371137e+02,1.473829912631996741e+01,1.212765280190261485e+01,1.142156956858957351e+01,7.504021149159100332e+02,2.222411504323910236e+01,1.492356030717269455e+01,1.409107753592506995e+01
