frame,forward_s1,forward_s2,forward_s3,forward_s4,backward_s1,backward_s2,backward_s3,backward_s4
1.740000000000000000e+02,8.823700545746742137e+02,1.101959728827000973e+01,1.079106384361243087e+01,9.645699349140906875e+00,1.458761004780237045e+03,1.390479859474972280e+01,1.188233289289568440e+01,1.156690080311614111e+01
1.750000000000000000e+02,9.664853267855116883e+02,1.109062290625025859e+01,1.079362253162334184e+01,9.841091718824259260e+00,1.407124846792067046e+03,1.390201651736173361e+01,1.187004853037644025e+01,1.139746410432893597e+01
1.760000000000000000e+02,1.046930117240891150e+03,1.113675574637932542e+01,1.079507050921459133e+01,9.882286362709612249e+00,1.350734014771202283e+03,1.387101685361733416e+01,1.164584642294209260e+01,1.139602065842139211e+01
1.770000000000000000e+02,1.123294130071943073e+03,1.114003919087260996e+01,1.081375271349213385e+01,1.009971853986160362e+01,1.289386122552752113e+03,1.364695242178334311e+01,1.152690254970972816e+01,1.132829278876950596e+01
1.780000000000000000e+02,1.193594316060460869e+03,1.118724550152279029e+01,1.091149591531000063e+01,1.020121422202700145e+01,1.223438273280656176e+03,1.356072570788048992e+01,1.149544253768149105e+01,1.111734607995251345e+01
1.790000000000000000e+02,1.258394125114361941e+03,1.119079076807179440e+01,1.113167111493219785e+01,1.052762271314171549e+01,1.154958481342838468e+03,1.326945646440103133e+01,1.136467896559788038e+01,1.091096423085328659e+01
1.800000000000000000e+02,1.317107247219868214e+03,1.129377792981285289e+01,1.116113285240612463e+01,1.071802004423348720e+01,1.083999432831193644e+03,1.272301616881104991e+01,1.136127549623040878e+01,1.090966992158157645e+01
1.810000000000000000e+02,1.370242172181810929e+03,1.134060344110785401e+01,1.116122130785674926e+01,1.074121916246866704e+01,1.011857990546315364e+03,1.221514760300241242e+01,1.122305150255094652e+01,1.067355272592545035e+01
1.820000000000000000e+02,1.417082643605193425e+03,1.134084024867580176e+01,1.116379644121552417e+01,1.077795971099393668e+01,9.386565669162347376e+02,1.206123302637370287e+01,1.119063051794673136e+01,1.034681886618776048e+01
1.830000000000000000e+02,1.458111028203810747e+03,1.174122451794906397e+01,1.116397781502905673e+01,1.084620243439246678e+01,8.663250676171484201e+02,1.176125101377254012e+01,1.116493215939149763e+01,1.031271370211635841e+01
