# q_A^-1 I sigma_shared_background
3.899999999999999994e-02 3.078389585643830806e+00 2.400432110075579814e-02
4.000000000000000083e-02 3.063560957645064864e+00 2.336828439351273934e-02
4.100000000000000172e-02 2.957134167564106075e+00 2.288098016611245233e-02
4.199999999999999567e-02 2.922223087555489762e+00 2.260255348568047593e-02
4.299999999999999656e-02 2.869879038329036902e+00 2.220458310372076458e-02
4.399999999999999745e-02 2.750772332861681324e+00 2.168240273046394273e-02
4.499999999999999833e-02 2.705217256319760288e+00 2.129375554645304702e-02
4.599999999999999922e-02 2.635090238518851269e+00 2.056536650583112857e-02
4.700000000000000011e-02 2.613721757209777952e+00 2.053082308919350688e-02
4.800000000000000100e-02 2.526223436025487157e+00 2.010270695538045327e-02
4.899999999999999495e-02 2.464840312598626682e+00 1.976436683530450808e-02
5.000000000000000278e-02 2.439127181993296922e+00 1.961948879803467050e-02
5.200000000000000455e-02 2.297757066864553277e+00 1.325607343042039046e-02
5.400000000000000633e-02 2.165721067532359267e+00 1.291711079390693573e-02
5.600000000000000810e-02 2.082637284881105888e+00 1.298282999060452504e-02
5.800000000000000988e-02 1.956634856850336224e+00 1.293103528235169455e-02
6.000000000000001166e-02 1.880133658311661238e+00 1.269039617855633774e-02
6.200000000000001343e-02 1.806702644082111675e+00 1.212411960214902079e-02
6.400000000000001521e-02 1.720424784099138460e+00 1.172142553779522908e-02
6.600000000000001699e-02 1.631651102226681527e+00 1.136245376113649390e-02
6.800000000000001876e-02 1.550801343344829775e+00 1.104818508744221349e-02
7.000000000000002054e-02 1.472166143719545905e+00 1.080433848723055465e-02
7.200000000000002232e-02 1.417617268369087302e+00 1.065213728611654788e-02
7.400000000000002409e-02 1.368405894596884220e+00 1.057147231463842658e-02
7.600000000000002587e-02 1.289246415930243028e+00 1.024682205536388627e-02
7.800000000000002764e-02 1.236278410408895967e+00 1.019128896696034313e-02
8.000000000000002942e-02 1.193827843825898016e+00 1.027956489062619404e-02
8.200000000000003120e-02 1.133196741840124533e+00 1.021187415227332689e-02
8.400000000000003297e-02 1.097125945956634707e+00 9.805405790677896097e-03
