# q_A^-1 I sigma_shared_background
9.800000000000004263e-01 3.630978798152715431e-02 1.668590900954906343e-03
9.900000000000004352e-01 3.559804628041267349e-02 1.675325726658382199e-03
1.000000000000000000e+00 3.613161773605130106e-02 1.644392219721987295e-03
1.030000000000000027e+00 3.433084727841688444e-02 9.544553782208948112e-04
1.060000000000000053e+00 3.519579094122398527e-02 9.792392806034278842e-04
1.090000000000000080e+00 3.561776962427315452e-02 1.004052732905588935e-03
1.120000000000000107e+00 3.538315257953692644e-02 1.013877928305939981e-03
1.150000000000000133e+00 3.593488566840397774e-02 1.023080291255704230e-03
1.180000000000000160e+00 3.666031274163059767e-02 1.019863702701674819e-03
1.210000000000000187e+00 3.722566235843470517e-02 1.045070893437348566e-03
1.240000000000000213e+00 3.815305535685940136e-02 1.077497299684418734e-03
1.270000000000000240e+00 3.884261975258498922e-02 1.148995926299458455e-03
1.300000000000000266e+00 4.003732452610871129e-02 1.222413069815293189e-03
1.330000000000000293e+00 4.089440226348838719e-02 1.338617786548885113e-03
1.360000000000000320e+00 4.311580908196310791e-02 4.283824981294516443e-03
1.390000000000000346e+00 4.355388419954401430e-02 2.159444160519623512e-01
1.420000000000000373e+00 4.335310373865895045e-02 1.983263054338966352e-03
1.450000000000000400e+00 4.491639296174525925e-02 2.097344601040219882e-03
1.480000000000000426e+00 4.541164363415530619e-02 2.391818356431545719e-03
1.510000000000000453e+00 4.441785276898201767e-02 2.711366760047788805e-03
1.540000000000000480e+00 4.452048571564132945e-02 3.128822966496365432e-03
1.570000000000000506e+00 4.367917128943421545e-02 3.593987954241303472e-03
1.600000000000000533e+00 4.384129011531903708e-02 4.120224855381995725e-03
1.630000000000000560e+00 4.294222652878570273e-02 4.695424712286073998e-03
1.660000000000000586e+00 3.967636927082268672e-02 5.319534652834832962e-03
1.690000000000000613e+00 3.762801976947796612e-02 6.035087354095508734e-03
1.720000000000000639e+00 3.440636233834423047e-02 6.835300295149638120e-03
1.750000000000000666e+00 3.169368107137742613e-02 7.681208557833451439e-03
1.780000000000000693e+00 2.648122578633324217e-02 9.100616372629169448e-03
1.810000000000000719e+00 2.254135865961193891e-02 1.048760843791613460e-02
1.840000000000000746e+00 1.709052128274682336e-02 1.128391483460086837e-02
1.870000000000000773e+00 1.160050294300690558e-02 1.175406359507959707e-02
1.900000000000000799e+00 9.936296149238549313e-03 1.241670843165591440e-02
1.930000000000000826e+00 3.769882047300222340e-03 1.297409931635672316e-02
1.960000000000000853e+00 1.608409286441350554e-03 1.351111188857832650e-02
1.990000000000000879e+00 -1.707979281931134132e-03 1.406854171061500298e-02
2.020000000000000906e+00 -4.289615397494492277e-03 1.395394580644282456e-02
2.050000000000000711e+00 -3.949565694199051041e-03 1.379608960441843293e-02
2.080000000000000959e+00 -4.675255881566184324e-03 1.397545335263966973e-02
2.110000000000001208e+00 -6.044571384012026490e-03 1.410796210483996130e-02
2.140000000000001013e+00 -6.248102786776557269e-03 1.408526180310277001e-02
2.170000000000000817e+00 -5.884455633785220727e-03 1.367064153111766447e-02
2.200000000000001066e+00 -5.685774370184642698e-03 1.273437559126913525e-02
2.230000000000001315e+00 -8.367501578607477314e-03 1.165010044001776185e-02
2.260000000000001119e+00 -4.168065184570283847e-03 1.056878281884084288e-02
2.290000000000000924e+00 -3.615161397458283715e-03 9.999166639220317607e-03
