# q_A^-1 I sigma_shared_background
2.250000000000001166e-01 1.511788319795788760e-01 4.660128720061383276e-03
2.300000000000001210e-01 1.477550843680671133e-01 4.482122204701437067e-03
2.350000000000001255e-01 1.440755959777943185e-01 4.797834201064059452e-03
2.400000000000001299e-01 1.349599469445128541e-01 5.107222989051695382e-03
2.450000000000001343e-01 1.343387704783142456e-01 4.889596211047540081e-03
2.500000000000001110e-01 1.244054516303692848e-01 5.137888537995074882e-03
2.550000000000001155e-01 1.273479247516537682e-01 5.038759159725709515e-03
2.600000000000001199e-01 1.177367755836075669e-01 5.386489401751452799e-03
2.650000000000001243e-01 1.074023258505718004e-01 5.116315325606425254e-03
2.700000000000001288e-01 1.160165990748948800e-01 5.379631716736679725e-03
2.750000000000001332e-01 1.143822070575938044e-01 5.171349706009854309e-03
2.800000000000001377e-01 1.122290671582392985e-01 5.261485467834978863e-03
2.850000000000001421e-01 1.017808815809373435e-01 5.233518850914248288e-03
2.900000000000001465e-01 9.987550110220153043e-02 5.013600281546999257e-03
2.950000000000001510e-01 9.736071011657451701e-02 4.947790277362326336e-03
3.000000000000001554e-01 9.433331206991447948e-02 5.142434680210435267e-03
3.050000000000001599e-01 9.510098679799833254e-02 5.175214435311110105e-03
3.100000000000001643e-01 9.098804034237142901e-02 5.058585617748316901e-03
3.150000000000001688e-01 9.274166613571244167e-02 4.992349683746000882e-03
3.200000000000001732e-01 8.884770948498685317e-02 4.968442672984200482e-03
3.250000000000001776e-01 8.938521673106029908e-02 4.876040263339376235e-03
3.300000000000001821e-01 8.257548792714085317e-02 4.755358961667848113e-03
3.350000000000001865e-01 8.455278954434769512e-02 4.861865331526102514e-03
3.400000000000001910e-01 7.979824954287123573e-02 4.576330178242583868e-03
3.450000000000001954e-01 7.982783680250427061e-02 4.772505121494127929e-03
3.500000000000001998e-01 7.451303519111471263e-02 4.448914372225192503e-03
3.550000000000002043e-01 8.105458055001371620e-02 4.659282465311387345e-03
3.600000000000002087e-01 7.336201679806624021e-02 4.647762865426447246e-03
3.650000000000002132e-01 7.470116541704810431e-02 4.528368889856563932e-03
3.700000000000002176e-01 7.213399421391895883e-02 4.591537069629299424e-03
3.750000000000002220e-01 7.488434737522192686e-02 4.592677511070826155e-03
3.800000000000002265e-01 6.906587770898249545e-02 4.633136580472604384e-03
3.850000000000002309e-01 7.199715228337343065e-02 4.277617864475950944e-03
3.900000000000002354e-01 6.801258920932276575e-02 4.758732413462636417e-03
3.950000000000002398e-01 7.027234647164344594e-02 4.627063905069105434e-03
4.000000000000002442e-01 6.707506478968228159e-02 4.480333897164233935e-03
4.050000000000002487e-01 6.714414137143367989e-02 4.177163279220295553e-03
4.100000000000002531e-01 6.656230704419097144e-02 4.140893982037472699e-03
